PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Mancuso, Elisa; Bedini, Gianni; Peruzzi, Lorenzo								Morphology, germination, and storage behaviour in seeds of Tuscan populations of Fritillaria montana (Liliaceae), a rare perennial geophyte in Italy								TURKISH JOURNAL OF BOTANY				36	2			161	166		10.3906/bot-1102-9			2012	2012										9							WOS:000302278300006		
J	Marchand, Neil; Filion, Louise								False rings in the white pine (Pinus strobus) of the Outaouais Hills, Quebec (Canada), as indicators of water stress								CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE				42	1			12	22		10.1139/X11-151			JAN 2012	2012										9							WOS:000299790800002		
J	Masserang, Kathleen M.; Pollatsek, Alexander								Transposed letter effects in prefixed words: Implications for morphological decomposition								JOURNAL OF COGNITIVE PSYCHOLOGY				24	4			476	495		10.1080/20445911.2012.658037			2012	2012										9							WOS:000305030100010		
J	Merino-Martin, L.; Moreno-de las Heras, M.; Perez-Domingo, S.; Espigares, T.; Nicolau, J. M.								Hydrological heterogeneity in Mediterranean reclaimed slopes: runoff and sediment yield at the patch and slope scales along a gradient of overland flow								HYDROLOGY AND EARTH SYSTEM SCIENCES				16	5			1305	1320		10.5194/hess-16-1305-2012			2012	2012										9							WOS:000304049700004		
J	Meyer-Kayser, Elisabeth; Hoffmann, Lothar; Silaghi, Cornelia; Pfister, Kurt; Mahling, Monia; Passos, Lygia M. F.								Dynamics of tick infestations in foxes in Thuringia, Germany								TICKS AND TICK-BORNE DISEASES				3	4			232	239		10.1016/j.ttbdis.2012.05.004			2012	2012										9							WOS:000310402600006		
J	Ompad, Danielle C.; Nandi, Vijay; Cerda, Magdalena; Crawford, Natalie; Galea, Sandro; Vlahov, David								Beyond income: Material resources among drug users in economically-disadvantaged New York City neighborhoods								DRUG AND ALCOHOL DEPENDENCE				120	1-3			127	134		10.1016/j.drugalcdep.2011.07.008			JAN 1 2012	2012										9							WOS:000299499800018		
J	Pereira, Lilian R.; Cabette, Helena S. R.; Juen, Leandro								Trichoptera as bioindicators of habitat integrity in the Pindaiba river basin, Mato Grosso (Central Brazil)								ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY				48	3			295	302		10.1051/limn/2012018			2012	2012										9							WOS:000310754500005		
J	Pomerleau, C.; Lesage, V.; Ferguson, S. H.; Winkler, G.; Petersen, S. D.; Higdon, J. W.								Prey assemblage isotopic variability as a tool for assessing diet and the spatial distribution of bowhead whale Balaena mysticetus foraging in the Canadian eastern Arctic								MARINE ECOLOGY PROGRESS SERIES				469				161	174		10.3354/meps10004			2012	2012										9							WOS:000311553600013		
J	Randrianiaina, Roger Daniel; Strauss, Axel; Glos, Julian; Vences, Miguel								Diversity of the strongly rheophilous tadpoles of Malagasy tree frogs, genus Boophis (Anura, Mantellidae), and identification of new candidate species via larval DNA sequence and morphology								ZOOKEYS					178			59	124		10.3897/zookeys.178.1410			2012	2012										9							WOS:000304582700005		
J	Reid, Tim A.; Hindell, Mark A.; Wilcox, Chris								Environmental determinants of the at-sea distribution of encounters between flesh-footed shearwaters Puffinus carniepes and fishing vessels								MARINE ECOLOGY PROGRESS SERIES				447				231	242		10.3354/meps09449			2012	2012										9							WOS:000300660600016		
