PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Le Bagousse-Pinguet, Yoann; Boerger, Luca; Quero, Jose-Luis; Garcia-Gomez, Miguel; Soriano, Sara; Maestre, Fernando T.; Gross, Nicolas								Traits of neighbouring plants and space limitation determine intraspecific trait variability in semi-arid shrublands								JOURNAL OF ECOLOGY				103	6			1647	1657		10.1111/1365-2745.12480			NOV 2015	2015										15							WOS:000363339300026		
J	Lorenz, Aaron J.; Smith, Kevin P.								Adding Genetically Distant Individuals to Training Populations Reduces Genomic Prediction Accuracy in Barley								CROP SCIENCE				55	6			2657	2667		10.2135/cropsci2014.12.0827			NOV-DEC 2015	2015										15							WOS:000368265600025		
J	Morley, D. W.; de Hoogh, K.; Fecht, D.; Fabbri, F.; Bell, M.; Goodman, P. S.; Elliott, P.; Hodgson, S.; Hansell, A. L.; Gulliver, J.								International scale implementation of the CNOSSOS-EU road traffic noise prediction model for epidemiological studies								ENVIRONMENTAL POLLUTION				206				332	341		10.1016/j.envpol.2015.07.031			NOV 2015	2015										15							WOS:000366235700041		
J	O'Neill, Mary B.; Mortimer, Tatum D.; Pepperell, Caitlin S.								Diversity of Mycobacterium tuberculosis across Evolutionary Scales								PLOS PATHOGENS				11	11					e1005257	10.1371/journal.ppat.1005257			NOV 2015	2015										15							WOS:000368332000021		
J	Roy, Denis; Lucek, Kay; Walter, Ryan P.; Seehausen, Ole								Hybrid 'superswarm' leads to rapid divergence and establishment of populations during a biological invasion								MOLECULAR ECOLOGY				24	21			5394	5411		10.1111/mec.13405			NOV 2015	2015										15							WOS:000363564200008		
J	Sonay, Tugce Bilgin; Carvalho, Tiago; Robinson, Mark D.; Greminger, Maja P.; Kruetzen, Michael; Comas, David; Highnam, Gareth; Mittelman, David; Sharp, Andrew; Marques-Bonet, Tomas; Wagner, Andreas								Tandem repeat variation in human and great ape populations and its impact on gene expression divergence								GENOME RESEARCH				25	11			1591	1599		10.1101/gr.190868.115			NOV 2015	2015										15							WOS:000364355600001		
J	Stanton, Annette L.; Wiley, Joshua F.; Krull, Jennifer L.; Crespi, Catherine M.; Hammen, Constance; Allen, John J. B.; Barron, Martha L.; Jorge, Alexandra; Weihs, Karen L.								Depressive episodes, symptoms, and trajectories in women recently diagnosed with breast cancer								BREAST CANCER RESEARCH AND TREATMENT				154	1			105	115		10.1007/s10549-015-3563-4			NOV 2015	2015										15							WOS:000363538100013		
J	Vandenberghe, Frederik; Gholam-Rezaee, Mehdi; Saig-Morgui, Nuria; Delacretaz, Aurelie; Choong, Eva; Solida-Tozzi, Alessandra; Kolly, Stephane; Thonney, Jacques; Gallo, Sylfa Fassassi; Hedjal, Ahmed; Ambresin, Anne-Emmanuelle; von Gunten, Armin; Conus, Philippe; Eap, Chin B.								Importance of Early Weight Changes to Predict Long-Term Weight Gain During Psychotropic Drug Treatment								JOURNAL OF CLINICAL PSYCHIATRY				76	11			E1417	U52		10.4088/JCP.14m09358			NOV 2015	2015										15							WOS:000368353400003		
J	Walker, Berkley J.; Ort, Donald R.								Improved method for measuring the apparent CO2 photocompensation point resolves the impact of multiple internal conductances to CO2 to net gas exchange								PLANT CELL AND ENVIRONMENT				38	11			2462	2474		10.1111/pce.12562			NOV 2015	2015										15							WOS:000363884600022		
J	Yang, Hong; Andersen, Tom; Dorsch, Peter; Tominaga, Koji; Thrane, Jan-Erik; Hessen, Dag O.								Greenhouse gas metabolism in Nordic boreal lakes								BIOGEOCHEMISTRY				126	1-2			211	225		10.1007/s10533-015-0154-8			NOV 2015	2015										15							WOS:000365868400013		
