PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Darlay, R. J.; McCarthy, A. J.; Illot, N. E.; Smith, J. E.; Shaw, M. -A.								Novel polymorphisms in ovine immune response genes and their association with abortion								ANIMAL GENETICS				42	5			535	543		10.1111/j.1365-2052.2011.02180.x			OCT 2011	2011										7							WOS:000294765800008		
J	Davis-Stober, Clintin P.								A Geometric Analysis of When Fixed Weighting Schemes Will Outperform Ordinary Least Squares								PSYCHOMETRIKA				76	4			650	669		10.1007/s11336-011-9229-1			OCT 2011	2011										7							WOS:000296640200008		
J	de Cos Juez, F. J.; Suarez-Suarez, M. A.; Sanchez Lasheras, F.; Murcia-Mazon, A.								Application of neural networks to the study of the influence of diet and lifestyle on the value of bone mineral density in post-menopausal women								MATHEMATICAL AND COMPUTER MODELLING				54	7-8			1665	1670		10.1016/j.mcm.2010.11.069			OCT 2011	2011										7							WOS:000293269200008		
J	Di Domenico, Stefano; Santori, Gregorio; Traverso, Nicola; Balbis, Emanuela; Furfaro, Annalisa; Grillo, Federica; Gentile, Raffaella; Bocca, Bruna; Gelli, Maximiliano; Andorno, Enzo; Dahamed, Ahmed; Cottalasso, Damiano; Valente, Umberto								Early effects of portal flow modulation after extended liver resection in rat								DIGESTIVE AND LIVER DISEASE				43	10			814	822		10.1016/j.dld.2011.05.018			OCT 2011	2011										7							WOS:000296217400013		
J	Dinwoodie, Ian H.; Chen, Yuguo								SAMPLING LARGE TABLES WITH CONSTRAINTS								STATISTICA SINICA				21	4			1591	1609		10.5705/ss.2008.078			OCT 2011	2011										7							WOS:000296212600006		
J	Dixon, Stephanie N.; Darlington, Gerarda A.; Desmond, Anthony F.								A competing risks model for correlated data based on the subdistribution hazard								LIFETIME DATA ANALYSIS				17	4			473	495		10.1007/s10985-011-9198-9			OCT 2011	2011										7							WOS:000294964000001		
J	Egesel, Cem Omer; Kahriman, Fatih; Gul, Muhammet Kemal								Discrimination of maize inbreds for kernel quality traits and fatty acid composition by a multivariate technique								ACTA SCIENTIARUM-AGRONOMY				33	4			613	620		10.4025/actasciagron.v33i4.11031			OCT-DEC 2011	2011										7							WOS:000297899200008		
J	Hermann, Joseph R.; Fry, Alethea M.; Siev, David; Slate, Dennis; Lewis, Charles; Gatewood, Donna M.								Stability of vaccinia-vectored recombinant oral rabies vaccine under field conditions: A 3-year study								CANADIAN JOURNAL OF VETERINARY RESEARCH-REVUE CANADIENNE DE RECHERCHE VETERINAIRE				75	4			278	284					OCT 2011	2011										7							WOS:000299531100006		
J	Huelber, Karl; Berger, Andreas; Gilli, Christian; Hofbauer, Markus; Patek, Monika; Schneeweiss, Gerald M.								No evidence for a role of competitive capabilities of adults in causing habitat segregation of diploid and hexaploid Senecio carniolicus (Asteracaeae)								ALPINE BOTANY				121	2			123	127		10.1007/s00035-011-0091-7			OCT 2011	2011										7							WOS:000300100700006		
J	Irvine, Kathryn M.; Dinger, Eric C.; Sarr, Daniel								A power analysis for multivariate tests of temporal trend in species composition								ECOLOGY				92	10			1879	1886		10.1890/10-2138.1			OCT 2011	2011										7							WOS:000295955200002		
J	Kendall, Tyler; Bresnan, Joan; Van Herk, Gerard								The dative alternation in African American English: Researching syntactic variation and change across sociolinguistic datasets								CORPUS LINGUISTICS AND LINGUISTIC THEORY				7	2			229	244		10.1515/CLLT.2011.011			OCT 2011	2011										7							WOS:000297581300003		
J	Kjellsson, Maria C.; Ouellet, Daniele; Corrigan, Brian; Karlsson, Mats O.								Modeling Sleep Data for a New Drug in Development using Markov Mixed-Effects Models								PHARMACEUTICAL RESEARCH				28	10			2610	2627		10.1007/s11095-011-0490-x			OCT 2011	2011										7							WOS:000294811700023		
J	Mencarelli, Maria Antonietta; Tassini, Maria; Pollazzon, Marzia; Vivi, Antonio; Calderisi, Marco; Falco, Michele; Fichera, Marco; Monti, Lucia; Buoni, Sabrina; Mari, Francesca; Engelke, Udo; Wevers, Ron A.; Hayek, Joussef; Renieri, Alessandra								Creatine Transporter Defect Diagnosed by Proton NMR Spectroscopy in Males With Intellectual Disability								AMERICAN JOURNAL OF MEDICAL GENETICS PART A				155A	10			2446	2452		10.1002/ajmg.a.34208			OCT 2011	2011										7							WOS:000295326300016		
