PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Ma, Xiangyuan; Zhu, Liangjun; Wu, Xue; Bao, Hua; Wang, Xiaonan; Chang, Zhili; Sheo, Yang W.; Wang, Zhenxin								Cell-Free DNA Provides a Good Representation of the Tumor Genome Despite Its Biased Fragmentation Patterns								PLOS ONE				12	1					e0169231	10.1371/journal.pone.0169231			JAN 3 2017	2017										4							WOS:000391612300149		
J	Hornick, Thomas; Bach, Lennart T.; Crawfurd, Katharine J.; Spilling, Kristian; Achterberg, Eric P.; Woodhouse, Jason N.; Schulz, Kai G.; Brussaard, Corina P. D.; Riebesell, Ulf; Grossart, Hans-Peter								Ocean acidification impacts bacteria-phytoplankton coupling at low-nutrient conditions								BIOGEOSCIENCES				14	1			1	15		10.5194/bg-14-1-2017			JAN 2 2017	2017										4							WOS:000392105200001		
J	Williams, Alwyn; Davis, Adam S.; Jilling, Andrea; Grandy, A. Stuart; Koide, Roger T.; Mortensen, David A.; Smith, Richard G.; Snapp, Sieglinde S.; Spokas, Kurt A.; Yannarell, Anthony C.; Jordan, Nicholas R.								Reconciling opposing soil processes in row-crop agroecosystems via soil functional zone management								AGRICULTURE ECOSYSTEMS & ENVIRONMENT				236				99	107		10.1016/j.agee.2016.11.012			JAN 2 2017	2017										4							WOS:000392886700011		
J	Abad-Franch, Fernando; Zamora-Perea, Elvira; Luz, Sergio L. B.								Mosquito-Disseminated Insecticide for Citywide Vector Control and Its Potential to Block Arbovirus Epidemics: Entomological Observations and Modeling Results from Amazonian Brazil								PLOS MEDICINE				14	1					e1002213	10.1371/journal.pmed.1002213			JAN 2017	2017										4							WOS:000395719900009		
J	Alnawaiseh, Maged; Rosentreter, Andre; Prokosch, Verena; Eveslage, Maria; Eter, Nicole; Zumhagen, Lars								Changes in Corneal Densitometry in Patients with Fuchs Endothelial Dystrophy after Endothelial Keratoplasty								CURRENT EYE RESEARCH				42	2			163	167		10.3109/02713683.2016.1146774			2017	2017										4							WOS:000395186800001		
J	Alton, Lesley A.; Condon, Catriona; White, Craig R.; Angilletta, Michael J., Jr.								Colder environments did not select for a faster metabolism during experimental evolution of Drosophila melanogaster								EVOLUTION				71	1			145	152		10.1111/evo.13094			JAN 2017	2017										4							WOS:000394439600012		
J	Arseneau-Robar, T. Jean M.; Taucher, Anouk L.; Schnider, Alessandra B.; van Schaik, Carel P.; Willems, Erik P.								Intra- and interindividual differences in the costs and benefits of intergroup aggression in female vervet monkeys								ANIMAL BEHAVIOUR				123				129	137		10.1016/j.anbehav.2016.10.034			JAN 2017	2017										4							WOS:000391840900015		
J	Asar, Ozgur; Ilk, Ozlem; Dag, Osman								Estimating Box-Cox power transformation parameter via goodness-of-fit tests								COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION				46	1			91	105		10.1080/03610918.2014.957839			2017	2017										4							WOS:000386903800006		
J	Ay, Jean-Sauveur; Guillemot, Joannes; Martin-StPaul, Nicolas; Doyen, Luc; Leadley, Paul								The economics of land use reveals a selection bias in tree species distribution models								GLOBAL ECOLOGY AND BIOGEOGRAPHY				26	1			65	77		10.1111/geb.12514			JAN 2017	2017										4							WOS:000390220100007		
J	Baehring, Alexandra; Fichtner, Andreas; Ibe, Karin; Schuetze, Gudrun; Temperton, Vicky M.; von Oheimb, Goddert; Haerdtle, Werner								Ecosystem functions as indicators for heathland responses to nitrogen fertilisation								ECOLOGICAL INDICATORS				72				185	193		10.1016/j.ecolind.2016.08.013			JAN 2017	2017										4							WOS:000398426200018		
