PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Nolte, Stefanie; Esselink, Peter; Bakker, Jan P.								Flower production of Aster tripolium is affected by behavioral differences in livestock species and stocking densities: the role of activity and selectivity								ECOLOGICAL RESEARCH				28	5			821	831		10.1007/s11284-013-1064-7			SEP 2013	2013										6							WOS:000324111100016		
J	Okazaki, R. R.; Swart, P. K.; Langdon, C.								Stress-tolerant corals of Florida Bay are vulnerable to ocean acidification								CORAL REEFS				32	3			671	683		10.1007/s00338-013-1015-3			SEP 2013	2013										6							WOS:000322874500007		
J	Okullo, Paul; Greve, Peter M. K.; Moe, Stein R.								Termites, Large Herbivores, and Herbaceous Plant Dominance Structure Small Mammal Communities in Savannahs								ECOSYSTEMS				16	6			1002	1012		10.1007/s10021-013-9663-2			SEP 2013	2013										6							WOS:000323246000006		
J	Reisberg, Kerstin; Selim, Abdelfattah M.; Gaede, Wolfgang								Simultaneous detection of Chlamydia spp., Coxiella burnetii, and Neospora caninum in abortion material of ruminants by multiplex real-time polymerase chain reaction								JOURNAL OF VETERINARY DIAGNOSTIC INVESTIGATION				25	5			614	619		10.1177/1040638713497483			SEP 2013	2013										6							WOS:000329660100011		
J	Rosalino, Luis Miguel; Nobrega, Filomena; Santos-Reis, Margarida; Teixeira, Generosa; Rebelo, Rui								Acorn Selection by the Wood Mouse Apodemus sylvaticus: A Semi-controlled Experiment in a Mediterranean Environment								ZOOLOGICAL SCIENCE				30	9			724	730		10.2108/zsj.30.724			SEP 2013	2013										6							WOS:000323546900007		
J	Ruiz-Rodriguez, M.; Aviles, J. M.; Cuervo, J. J.; Parejo, D.; Ruano, F.; Zamora-Munoz, C.; Sergio, F.; Lopez-Jimenez, L.; Tanferna, A.; Martin-Vivaldi, M.								Does avian conspicuous colouration increase or reduce predation risk?								OECOLOGIA				173	1			83	93		10.1007/s00442-013-2599-6			SEP 2013	2013										6							WOS:000323504300008		
J	Runquist, Ryan D. Briscoe; Moeller, David A.								RESOURCE REALLOCATION DOES NOT INFLUENCE ESTIMATES OF POLLEN LIMITATION OR REPRODUCTIVE ASSURANCE IN CLARKIA XANTIANA SUBSP PARVIFLORA (ONAGRACEAE)								AMERICAN JOURNAL OF BOTANY				100	9			1916	1921		10.3732/ajb.1300050			SEP 2013	2013										6							WOS:000325176400021		
J	Sala-Puigdollers, Anna; Fernandez, Itziar; Coco, Rosa M.; Sanabria, Maria R.; Rodriguez De La Rua, Enrique; Maria Ruiz-Moreno, Jose; Navea, Amparo; Suarez De Figueroa, Marta; Carlos Pastor, J.								EXTERNAL VALIDATION OF EXISTING FORMULAS TO PREDICT THE RISK OF DEVELOPING PROLIFERATIVE VITREORETINOPATHY The Retina 1 Project; Report 5								RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES				33	8			1519	1527		10.1097/IAE.0b013e31828991ea			SEP 2013	2013										6							WOS:000330233200005		
J	Scheurer, W.; Spring, P.; Maertens, L.								Effect of 3 dietary phytogenic products on production performance and coccidiosis in challenged broiler chickens								JOURNAL OF APPLIED POULTRY RESEARCH				22	3			591	599		10.3382/japr.2013-00726			SEP 2013	2013										6							WOS:000330522800028		
J	Serwadda, Abdul; Phoha, Vir V.								Examining a Large Keystroke Biometrics Dataset for Statistical-Attack Openings								ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY				16	2					8	10.1145/2516960			SEP 2013	2013										6							WOS:000325640500004		
J	Shackelford, Nancy; Renton, Michael; Perring, Michael P.; Hobbs, Richard J.								Modeling disturbance-based native invasive species control and its implications for management								ECOLOGICAL APPLICATIONS				23	6			1331	1344		10.1890/12-1881.1			SEP 2013	2013										6							WOS:000323935700009		
