PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Paquette, Sebastien Rioux; Talbot, Benoit; Garant, Dany; Mainguy, Julien; Pelletier, Fanie								Modelling the dispersal of the two main hosts of the raccoon rabies variant in heterogeneous environments with landscape genetics								EVOLUTIONARY APPLICATIONS				7	7			734	749		10.1111/eva.12161			AUG 2014	2014										18							WOS:000341637100003		
J	Som, Nicholas A.; Monestiez, Pascal; Hoef, Jay M. Ver; Zimmerman, Dale L.; Peterson, Erin E.								Spatial sampling on streams: principles for inference on aquatic networks								ENVIRONMETRICS				25	5			306	323		10.1002/env.2284			AUG 2014	2014										18							WOS:000339429900002		
J	Vasilescu, Bogdan; Serebrenik, Alexander; Goeminne, Mathieu; Mens, Tom								On the variation and specialisation of workload-A case study of the GNOME ecosystem community								EMPIRICAL SOFTWARE ENGINEERING				19	4			955	1008		10.1007/s10664-013-9244-1			AUG 2014	2014										18							WOS:000336388500006		
J	Weinstein, Ben G.; Tinoco, Boris; Luis Parra, Juan; Brown, Leone M.; McGuire, Jimmy A.; Gary Stiles, F.; Graham, Catherine H.								Taxonomic, Phylogenetic, and Trait Beta Diversity in South American Hummingbirds								AMERICAN NATURALIST				184	2			211	224		10.1086/676991			AUG 2014	2014										18							WOS:000340246400009		
J	Chen, A. C.; Paulino, A. C.; Schwartz, M. R.; Rodriguez, A. A.; Bass, B. L.; Chang, J. C.; Teh, B. S.								Population-based comparison of prognostic factors in invasive micropapillary and invasive ductal carcinoma of the breast								BRITISH JOURNAL OF CANCER				111	3			619	622		10.1038/bjc.2014.301			JUL 29 2014	2014										18							WOS:000340205400026		
J	Favati, Anna; Leimar, Olof; Lovlie, Hanne								Personality Predicts Social Dominance in Male Domestic Fowl								PLOS ONE				9	7					e103535	10.1371/journal.pone.0103535			JUL 29 2014	2014										18							WOS:000341307600059		
J	Moron, Dawid; Skorka, Piotr; Lenda, Magdalena; Rozej-Pabijan, Elzbieta; Wantuch, Marta; Kajzer-Bonk, Joanna; Celary, Waldemar; Mielczarek, Lukasz Emil; Tryjanowski, Piotr								Railway Embankments as New Habitat for Pollinators in an Agricultural Landscape								PLOS ONE				9	7					e101297	10.1371/journal.pone.0101297			JUL 23 2014	2014										18							WOS:000339614100013		
J	Lobato, Fabio L.; Barneche, Diego R.; Siqueira, Alexandre C.; Liedke, Ana M. R.; Lindner, Alberto; Pie, Marcio R.; Bellwood, David R.; Floeter, Sergio R.								Diet and Diversification in the Evolution of Coral Reef Fishes								PLOS ONE				9	7					e102094	10.1371/journal.pone.0102094			JUL 16 2014	2014										18							WOS:000341306600035		
J	Barbieri, Enio; Fonturbel, Francisco E.; Herbas, Cristian; Barbieri, Flavia L.; Gardon, Jacques								Indoor metallic pollution and children exposure in a mining city								SCIENCE OF THE TOTAL ENVIRONMENT				487				13	19		10.1016/j.scitotenv.2014.03.136			JUL 15 2014	2014										18							WOS:000337259100002		
J	Blackham, Grace V.; Webb, Edward L.; Corlett, Richard T.								Natural regeneration in a degraded tropical peatland, Central Kalimantan, Indonesia: Implications for forest restoration								FOREST ECOLOGY AND MANAGEMENT				324				8	15		10.1016/j.foreco.2014.03.041			JUL 15 2014	2014										18							WOS:000339129500002		
