PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Quick, Nicola; Scott-Hayward, Lindesay; Sadykova, Dina; Nowacek, Doug; Read, Andrew								Effects of a scientific echo sounder on the behavior of short-finned pilot whales (Globicephala macrorhynchus)								CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES				74	5			716	726		10.1139/cjfas-2016-0293			MAY 2017	2017										2							WOS:000400011100008		
J	Radinger, J.; Kail, J.; Wolter, C.								Differences among Expert Judgments of Fish Habitat Suitability and Implications for River Management								RIVER RESEARCH AND APPLICATIONS				33	4			538	547		10.1002/rra.3109			MAY 2017	2017										2							WOS:000400594100007		
J	Rahlff, Janina; Stolle, Christian; Giebel, Helge-Ansgar; Brinkhoff, Thorsten; Ribas-Ribas, Mariana; Hodapp, Dorothee; Wurl, Oliver								High wind speeds prevent formation of a distinct bacterioneuston community in the sea-surface microlayer								FEMS MICROBIOLOGY ECOLOGY				93	5					fix041	10.1093/femsec/fix041			MAY 2017	2017										2							WOS:000410337900021		
J	Reategui-Zirena, Evelyn G.; French, Amanda D.; Klein, David M.; Salice, Christopher J.								Cadmium Compartmentalization in the Pulmonate Snail Lymnaea stagnalis: Improving Our Understanding of Exposure								ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY				72	4			575	585		10.1007/s00244-017-0407-8			MAY 2017	2017										2							WOS:000400962800009		
J	Reid, Lee B.; Pagnozzi, Alex M.; Fiori, Simona; Boyd, Roslyn N.; Dowson, Nicholas; Rose, Stephen E.								Measuring neuroplasticity associated with cerebral palsy rehabilitation: An MRI based power analysis								INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE				58				17	25		10.1016/j.ijdevneu.2017.01.010			MAY 2017	2017										2							WOS:000399629200003		
J	Reimann, Olivier; Schumacher, Christian; Vetschera, Rudolf								How well does the OWA operator represent real preferences?								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				258	3			993	1003		10.1016/j.ejor.2016.09.037			MAY 1 2017	2017										2							WOS:000392770800016		
J	Ripplinger, Julie; Collins, Scott L.; York, Abigail M.; Franklin, Janet								Boom-bust economics and vegetation dynamics in a desert city: How strong is the link?								ECOSPHERE				8	5					e01826	10.1002/ecs2.1826			MAY 2017	2017										2							WOS:000402472300037		
J	Roopsind, Anand; Wortel, Verginia; Hanoeman, Wedika; Putz, Francis E.								Quantifying uncertainty about forest recovery 32-years after selective logging in Suriname								FOREST ECOLOGY AND MANAGEMENT				391				246	255		10.1016/j.foreco.2017.02.026			MAY 1 2017	2017										2							WOS:000399511500025		
J	Rosenfield, Milena Fermina; Mueller, Sandra Cristina								Predicting restored communities based on reference ecosystems using a trait-based approach								FOREST ECOLOGY AND MANAGEMENT				391				176	183		10.1016/j.foreco.2017.02.024			MAY 1 2017	2017										2							WOS:000399511500018		
J	Rottstock, Tanja; Kummer, Volker; Fischer, Markus; Joshi, Jasmin								Rapid transgenerational effects in Knautia arvensis in response to plant community diversity								JOURNAL OF ECOLOGY				105	3			714	725		10.1111/1365-2745.12689			MAY 2017	2017										2							WOS:000400594500015		
J	Russ, Tom C.; Hannah, Jean; Batty, G. David; Booth, Christopher C.; Deary, Ian J.; Starr, John M.								Childhood Cognitive Ability and Incident Dementia The 1932 Scottish Mental Survey Cohort into their 10th Decade								EPIDEMIOLOGY				28	3			361	364		10.1097/EDE.0000000000000626			MAY 2017	2017										2							WOS:000398158000019		
J	Rusterholz, Hans-Peter; Kung, Jonas; Baur, Bruno								Experimental evidence for a delayed response of the above-ground vegetation and the seed bank to the invasion of an annual exotic plant in deciduous forests								BASIC AND APPLIED ECOLOGY				20				19	30		10.1016/j.baae.2017.02.004			MAY 2017	2017										2							WOS:000404560900003		
J	Samara, Anna; Smith, Kenny; Brown, Helen; Wonnacott, Elizabeth								Acquiring variation in an artificial language: Children and adults are sensitive to socially conditioned linguistic variation								COGNITIVE PSYCHOLOGY				94				85	114		10.1016/j.cogpsych.2017.02.004			MAY 2017	2017										2							WOS:000400232400005		
J	Schoppach, Remy; Soltani, Afshin; Sinclair, Thomas R.; Sadok, Walid								Yield comparison of simulated rainfed wheat and barley across Middle-East								AGRICULTURAL SYSTEMS				153				101	108		10.1016/j.agsy.2016.12.017			MAY 2017	2017										2							WOS:000401384000010		
J	Schweitzer, Cecile; Gaillard, Tommy; Guerbois, Chlo; Fritz, Herv; Petit, Odile								Participant Profiling and Pattern of Crop-Foraging in Chacma Baboons (Papio hamadryas ursinus) in Zimbabwe: Why Does Investigating Age-Sex Classes Matter?								INTERNATIONAL JOURNAL OF PRIMATOLOGY				38	2			207	223		10.1007/s10764-017-9958-9			MAY 2017	2017										2							WOS:000400934800006		
J	Schworer, Christoph; Gavin, Daniel G.; Walker, Ian R.; Hu, Feng Sheng								Holocene tree line changes in the Canadian Cordillera are controlled by climate and topography								JOURNAL OF BIOGEOGRAPHY				44	5			1148	1159		10.1111/jbi.12904			MAY 2017	2017										2							WOS:000399667400017		
J	Sefc, Kristina M.; Mattersdorfer, Karin; Ziegelbecker, Angelika; Neuhuettler, Nina; Steiner, Oliver; Goessler, Walter; Koblmueller, Stephan								Shifting barriers and phenotypic diversification by hybridisation								ECOLOGY LETTERS				20	5			651	662		10.1111/ele.12766			MAY 2017	2017										2							WOS:000399361500009		
J	Shin, Kilho; Chung, Susana T. L.; Tjan, Bosco S.								Crowding, visual awareness, and their respective neural loci								JOURNAL OF VISION				17	5					18	10.1167/17.5.18			MAY 2017	2017										2							WOS:000403874100018		
J	Simkanin, Christina; Davidson, Ian C.; Therriault, Thomas W.; Jamieson, Glen; Dower, John F.								Manipulating propagule pressure to test the invasibility of subtidal marine habitats								BIOLOGICAL INVASIONS				19	5			1565	1575		10.1007/s10530-017-1379-3			MAY 2017	2017										2							WOS:000399808800016		
J	Skarkova, Pavlina; Novotny, Karel; Lubal, Premysl; Jebava, Alzbeta; Porizka, Pavel; Klus, Jakub; Farka, Zdenek; Hrdlicka, Ales; Kaiser, Jozef								2d distribution mapping of quantum dots injected onto filtration paper by laser-induced breakdown spectroscopy								SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY				131				107	114		10.1016/j.sab.2017.03.016			MAY 1 2017	2017						European Symposium on Atomic Spectrometry (ESAS)	MAR 31-APR 02, 2016		Eger, HUNGARY	2							WOS:000401200700014		
J	Skovgaard-Olsen, Niels; Singmann, Henrik; Klauer, Karl Christoph								Relevance and Reason Relations								COGNITIVE SCIENCE				41				1202	1215		10.1111/cogs.12462			MAY 2017	2017										2							WOS:000401258900010		
J	Smith, Shane R. T.; Connallon, Tim								The contribution of the mitochondrial genome to sex-specific fitness variance								EVOLUTION				71	5			1417	1424		10.1111/evo.13238			MAY 2017	2017										2							WOS:000401256200024		
J	Sor, Ratha; Boets, Pieter; Chea, Ratha; Goethals, Peter L. M.; Lek, Sovan								Spatial organization of macroinvertebrate assemblages in the Lower Mekong Basin								LIMNOLOGICA				64				20	30		10.1016/j.linmo.2017.04.001			MAY 2017	2017										2							WOS:000404798100003		
J	Sorokowska, Agnieszka; Sorokowski, Piotr; Hilpert, Peter; Cantarero, Katarzyna; Frackowiak, Tomasz; Ahmadi, Khodabakhsh; Alghraibeh, Ahmad M.; Aryeetey, Richmond; Bertoni, Anna; Bettache, Karim; Blumen, Sheyla; Blazejewska, Marta; Bortolini, Tiago; Butovskaya, Marina; Castro, Felipe Nalon; Cetinkaya, Hakan; Cunha, Diana; David, Daniel; David, Oana A.; Dileym, Fahd A.; Dominguez Espinosa, Alejandra del Carmen; Donato, Silvia; Dronova, Daria; Dural, Seda; Fialova, Jitka; Fisher, Maryanne; Gulbetekin, Evrim; Akkaya, Aslihan Hamamcioglu; Hromatko, Ivana; Iafrate, Raffaella; Iesyp, Mariana; James, Bawo; Jaranovic, Jelena; Jiang, Feng; Kimamo, Charles Obadiah; Kjelvik, Grete; Koc, Firat; Laar, Amos; Lopes, Fivia de Araujo; Macbeth, Guillermo; Marcano, Nicole M.; Martinez, Rocio; Mesko, Norbert; Molodovskaya, Natalya; Moradi, Khadijeh; Motahari, Zahrasadat; Muehlhauser, Alexandra; Natividade, Jean Carlos; Ntayi, Joseph; Oberzaucher, Elisabeth; Ojedokun, Oluyinka; Bin Omar-Fauzee, Mohd Sofian; Onyishi, Ike E.; Paluszak, Anna; Portugal, Alda; Razumiejczyk, Eugenia; Realo, Anu; Relvas, Ana Paula; Rivas, Maria; Rizwan, Muhammad; Salkicevic, Svjetlana; Sarmany-Schuller, Ivan; Schmehl, Susanne; Senyk, Oksana; Sinding, Charlotte; Stamkou, Eftychia; Stoyanova, Stanislava; Sukolova, Denisa; Sutresna, Nina; Tadinac, Meri; Teras, Andero; Tinoco Ponciano, Edna Lucia; Tripathi, Ritu; Tripathi, Nachiketa; Tripathi, Mamta; Uhryn, Olja; Yamamoto, Maria Emilia; Yoo, Gyesook; Pierce, John D.								Preferred Interpersonal Distances: A Global Comparison								JOURNAL OF CROSS-CULTURAL PSYCHOLOGY				48	4			577	592		10.1177/0022022117698039			MAY 2017	2017										2							WOS:000399920900008		
J	Soul, Laura C.; Benson, Roger B. J.								Developmental mechanisms of macroevolutionary change in the tetrapod axis: A case study of Sauropterygia								EVOLUTION				71	5			1164	1177		10.1111/evo.13217			MAY 2017	2017										2							WOS:000401256200004		
J	Souter, Jodi R.; Gurusamy, Valarmathi; Porch, Timothy G.; Bett, Kirstin E.								Successful Introgression of Abiotic Stress Tolerance from Wild Tepary Bean to Common Bean								CROP SCIENCE				57	3			1160	1171		10.2135/cropsci2016.10.0851			MAY-JUN 2017	2017										2							WOS:000404483500010		
J	Spinks, Rachel K.; Muschick, Moritz; Salzburger, Walter; Gante, Hugo F.								Singing above the chorus: cooperative Princess cichlid fish (Neolamprologus pulcher) has high pitch								HYDROBIOLOGIA				791	1			115	125		10.1007/s10750-016-2921-5			MAY 2017	2017										2							WOS:000396043800009		
J	Stark, Lloyd R.; Greenwood, Joshua L.; Slate, Mandy L.; Brinda, John C.								Syntrichia norvegica shoots exhibit a complex inducible response to desiccation: separating the effects of rate of drying and water content								BOTANY				95	5			481	491		10.1139/cjb-2016-0263			MAY 2017	2017										2							WOS:000400978300004		
J	Stastny, M.; Sargent, R. D.								Evidence for rapid evolutionary change in an invasive plant in response to biological control								JOURNAL OF EVOLUTIONARY BIOLOGY				30	5			1042	1052		10.1111/jeb.13078			MAY 2017	2017										2							WOS:000400783800016		
J	Staub, Adrian; Dillon, Brian; Clifton, Charles, Jr.								The Matrix Verb as a Source of Comprehension Difficulty in Object Relative Sentences								COGNITIVE SCIENCE				41				1353	1376		10.1111/cogs.12448			MAY 2017	2017										2							WOS:000402285100005		
J	Stoeckel, Stephan; Meisel, Susann; Lorenz, Bjoern; Kloss, Sandra; Henk, Sandra; Dees, Stefan; Richter, Elvira; Andres, Soenke; Merker, Matthias; Labugger, Ines; Roesch, Petra; Popp, Juergen								Raman spectroscopic identification of Mycobacterium tuberculosis								JOURNAL OF BIOPHOTONICS				10	5			727	734		10.1002/jbio.201600174			MAY 2017	2017										2							WOS:000401248000014		
J	Strock, Kristin E.; Theodore, Nora; Gawley, William G.; Ellsworth, Alan C.; Saros, Jasmine E.								Increasing dissolved organic carbon concentrations in northern boreal lakes: Implications for lake water transparency and thermal structure								JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES				122	5			1022	1035		10.1002/2017JG003767			MAY 2017	2017										2							WOS:000403487600002		
J	Strom, John Fredrik; Thorstad, Eva B.; Chafe, Graham; Sorbye, Sigrunn H.; Righton, David; Rikardsen, Audun H.; Carr, Jonathan								Ocean migration of pop-up satellite archival tagged Atlantic salmon from the Miramichi River in Canada								ICES JOURNAL OF MARINE SCIENCE				74	5			1356	1370		10.1093/icesjms/fsw220			MAY-JUN 2017	2017										2							WOS:000404450700012		
J	Stubberud, Marlene Waege; Myhre, Ane Marlene; Holand, Hakon; Kvalnes, Thomas; Ringsby, Thor Harald; Saether, Bernt-Erik; Jensen, Henrik								Sensitivity analysis of effective population size to demographic parameters in house sparrow populations								MOLECULAR ECOLOGY				26	9			2449	2465		10.1111/mec.14057			MAY 2017	2017										2							WOS:000400335200005		
J	Stull, Kyra E.; L'Abbe, Ericka N.; Ousley, Stephen D.								Subadult sex estimation from diaphyseal dimensions								AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY				163	1			64	74		10.1002/ajpa.23185			MAY 2017	2017										2							WOS:000399760400006		
J	Sturmbauer, Christian; Boerger, Christine; Van Steenberge, Maarten; Koblmueller, Stephan								A separate lowstand lake at the northern edge of Lake Tanganyika? Evidence from phylogeographic patterns in the cichlid genus Tropheus								HYDROBIOLOGIA				791	1			51	68		10.1007/s10750-016-2939-8			MAY 2017	2017										2							WOS:000396043800005		
J	Sun, Yanfei; Zhang, Yuqing; Feng, Wei; Qin, Shugao; Liu, Zhen; Bai, Yuxuan; Yan, Ru; Fa, Keyu								Effects of xeric shrubs on soil microbial communities in a desert in northern China								PLANT AND SOIL				414	1-2			281	294		10.1007/s11104-016-3111-y			MAY 2017	2017										2							WOS:000399742000019		
J	Sutradhar, Rinku; Barbera, Lisa; Seow, Hsien-Yeang								Palliative homecare is associated with reduced high- and low-acuity emergency department visits at the end of life: A population-based cohort study of cancer decedents								PALLIATIVE MEDICINE				31	5			448	455		10.1177/0269216316663508			MAY 2017	2017										2							WOS:000400105200006		
J	Szasz, Eszter; Szollosi, Eszter; Hegyi, Gergely; Torok, Janos; Rosivall, Balzs								Rearing conditions have long-term sex-specific fitness consequences in the collared flycatcher								BEHAVIORAL ECOLOGY				28	3			717	723		10.1093/beheco/arx018			MAY-JUN 2017	2017										2							WOS:000401942800018		
J	Tao, Wenjing; Konings, Peter; Hull, Mark A.; Adami, Hans-Olov; Mattsson, Fredrik; Lagergren, Jesper								Colorectal Cancer Prognosis Following Obesity Surgery in a Population-Based Cohort Study								OBESITY SURGERY				27	5			1233	1239		10.1007/s11695-016-2431-6			MAY 2017	2017										2							WOS:000400029400015		
J	ter Steege, Hans; Sabatier, Daniel; de Oliveira, Sylvia Mota; Magnusson, William E.; Molino, Jean-Francois; Gomes, Vitor F.; Pos, Edwin T.; Salomao, Rafael P.								Estimating species richness in hyper-diverse large tree communities								ECOLOGY				98	5			1444	1454		10.1002/ecy.1813/suppinfo			MAY 2017	2017										2							WOS:000400598500022		
J	Tharayil, Joseph J.; Chiang, Sharon; Moss, Robert; Stern, John M.; Theodore, William H.; Goldenholz, Daniel M.								A big data approach to the development of mixed-effects models for seizure count data								EPILEPSIA				58	5			835	844		10.1111/epi.13727			MAY 2017	2017										2							WOS:000401267900015		
J	Thiemichen, S.; Kauermann, G.								Stable exponential random graph models with non-parametric components for large dense networks								SOCIAL NETWORKS				49				67	80		10.1016/j.socnet.2016.12.002			MAY 2017	2017										2							WOS:000395601700006		
J	Tonne, Nathalie; Beeckman, Hans; Robert, Elisabeth M. R.; Koedam, Nico								Towards an unknown fate: The floating behaviour of recently abscised propagules from wide ranging Rhizophoraceae mangrove species								AQUATIC BOTANY				140				23	33		10.1016/j.aquabot.2017.01.008			MAY 2017	2017										2							WOS:000405044500004		
J	Torres-Muros, Lucia; Hodar, Jose A.; Zamora, Regino								Effect of habitat type and soil moisture on pupal stage of a Mediterranean forest pest (Thaumetopoea pityocampa)								AGRICULTURAL AND FOREST ENTOMOLOGY				19	2			130	138		10.1111/afe.12188			MAY 2017	2017										2							WOS:000403024600003		
J	Toth, Denes; Csepe, Valeria								Adaptive specialization in position encoding while learning to read								DEVELOPMENTAL SCIENCE				20	3					e12426	10.1111/desc.12426			MAY 2017	2017										2							WOS:000403007500007		
J	Trolliet, Franck; Forget, Pierre-Michel; Huynen, Marie-Claude; Hambuckers, Alain								Forest cover, hunting pressure, and fruit availability influence seed dispersal in a forest-savanna mosaic in the Congo Basin								BIOTROPICA				49	3			337	345		10.1111/btp.12417			MAY 2017	2017										2							WOS:000400301500007		
