PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Saura-Mas, S.; Lloret, F.								Adult root structure of mediterranean shrubs: relationship with post-fire regenerative syndrome								PLANT BIOLOGY				16	1			147	154		10.1111/plb.12043			JAN 2014	2014										3							WOS:000328826900018		
J	Scenna, Lorena B.; Diaz de Astarloa, Juan M.								Reproductive biology of the Magellan skate, Bathyraja magellanica (Chondrichthyes, Rajidae), in the south-western Atlantic								MARINE AND FRESHWATER RESEARCH				65	9			766	775		10.1071/MF13144			2014	2014										3							WOS:000344380900002		
J	Schadewinkel, Robert B.; Senior, Alistair M.; Wilson, Deborah J.; Jamieson, Ian G.								Effects on South Island robins (Petroica australis) from pest control using aerially applied 1080 poison								NEW ZEALAND JOURNAL OF ECOLOGY				38	2			315	321					2014	2014										3							WOS:000339134100015		
J	Schild, Anne H. E.; Nader, Ingo W.; Pietschnig, Jakob; Voracek, Martin								Ethnicity Moderates the Association between 5-HTTLPR and National Suicide Rates								ARCHIVES OF SUICIDE RESEARCH				18	1			1	13		10.1080/13811118.2013.803447			2014	2014										3							WOS:000337220900001		
J	Schismenou, Eudoxia; Giannoulaki, Marianna; Tsiaras, Kostas; Lefkaditou, Eugenia; Triantafyllou, George; Somarakis, Stylianos								Disentangling the effects of inherent otolith growth and model-simulated ecosystem parameters on the daily growth rate of young anchovies								MARINE ECOLOGY PROGRESS SERIES				515				227	237		10.3354/meps10958			2014	2014										3							WOS:000345703500018		
J	Sedlacek, Ondrej; Mikes, Martin; Albrecht, Tomas; Reif, Jiri; Horak, David								Evidence for an edge effect on avian nest predation in fragmented afromontane forests in the Bamenda-Banso Highlands, NW Cameroon								TROPICAL CONSERVATION SCIENCE				7	4			720	732		10.1177/194008291400700410			2014	2014										3							WOS:000347644200010		
J	Seifter, Ari; Singh, Sarabdeep; McArdle, Patrick F.; Ryan, Kathleen A.; Shuldiner, Alan R.; Mitchell, Braxton D.; Schaeffer, Alejandro A.								Analysis of the bereavement effect after the death of a spouse in the Amish: a population-based retrospective cohort study								BMJ OPEN				4	1						10.1136/bmjopen-2013-003670			2014	2014										3							WOS:000334311200013		
J	Seres, A.; Kiss, I.; Nagy, P.; Saly, P.; Darvas, B.; Bakonyi, G.								Arbuscular mycorrhizal fungi colonisation of Cry3 toxin-producing Bt maize and near isogenic maize								PLANT SOIL AND ENVIRONMENT				60	12			569	573		10.17221/674/2014-PSE			2014	2014										3							WOS:000346401800007		
J	Sharikov, Alexander; Makarova, Tatiana								Weather conditions explain variation in the diet of Long-eared Owl at winter roost in central part of European Russia								ORNIS FENNICA				91	2			100	107					2014	2014										3							WOS:000339784000005		
J	Silva, E. M.; Medina, A. M.; Nascimento, I. C.; Lopes, P. P.; Carvalho, K. S.; Santos, G. M. M.								Does ant community richness and composition respond to phytophysiognomical complexity and seasonality in xeric environments?								SOCIOBIOLOGY				61	2			155	163					2014	2014										3							WOS:000338985600005		
J	Smith, Jeffrey R.; Hough-Goldstein, Judith; Lake, Ellen C.								Variable Seed Viability of Mile-a-Minute Weed (Devil's Tearthumb, Persicaria perfoliata)								INVASIVE PLANT SCIENCE AND MANAGEMENT				7	1			107	112		10.1614/IPSM-D-13-00056.1			JAN-MAR 2014	2014										3							WOS:000333491800010		
J	Stewart, Frances E. C.; Brooks, Ronald J.; McAdam, Andrew G.								Seasonal adjustment of sex ratio and offspring masculinity by female deer mice is inconsistent with the local resource competition hypothesis								EVOLUTIONARY ECOLOGY RESEARCH				16	2			153	164					2014	2014										3							WOS:000349444300005		
J	Stropp, Juliana; van der Sleen, Peter; Quesada, Carlos A.; ter Steege, Hans								Herbivory and habitat association of tree seedlings in lowland evergreen rainforest on white-sand and terra-firme in the upper Rio Negro								PLANT ECOLOGY & DIVERSITY				7	1-2			255	265		10.1080/17550874.2013.773103			2014	2014										3							WOS:000336082900018		
J	Sung, Yik-Hei; Hau, Billy C. H.; Karraker, Nancy E.								Reproduction of endangered Big-headed Turtle, Platysternon megacephalum (Reptilia: Testudines: Platysternidae)								ACTA HERPETOLOGICA				9	2			243	247					2014	2014										3							WOS:000348289100013		
J	Tabouret, H.; Tomadin, M.; Taillebois, L.; Iida, M.; Lord, C.; Pecheyran, C.; Keith, P.								Amphidromy and marine larval phase of ancestral gobioids Rhyacichthys guilberti and Protogobius attiti (Teleostei: Rhyacichthyidae)								MARINE AND FRESHWATER RESEARCH				65	9			776	783		10.1071/MF13146			2014	2014										3							WOS:000344380900003		
