PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Fine, Paul V. A.; Garcia-Villacorta, Roosevelt; Pitman, Nigel C. A.; Mesones, Italo; Kembel, Steven W.								A FLORISTIC STUDY OF THE WHITE-SAND FORESTS OF PERU								ANNALS OF THE MISSOURI BOTANICAL GARDEN				97	3			283	305		10.3417/2008068			2010	2010										56							WOS:000283387700001		
J	Koelbener, Albert; Strom, Lena; Edwards, Peter J.; Venterink, Harry Olde								Plant species from mesotrophic wetlands cause relatively high methane emissions from peat soil								PLANT AND SOIL				326	1-2			147	158		10.1007/s11104-009-9989-x			JAN 2010	2010										56							WOS:000272850200012		
J	Pommier, Thomas; Neal, P. R.; Gasol, Josep M.; Coll, Montserrat; Acinas, Silvia G.; Pedros-Alio, Carlos								Spatial patterns of bacterial richness and evenness in the NW Mediterranean Sea explored by pyrosequencing of the 16S rRNA								AQUATIC MICROBIAL ECOLOGY				61	3			212	224		10.3354/ame01484			2010	2010										56							WOS:000285768600002		
J	Out, Astrid A.; van Minderhout, Ivonne J. H. M.; Goeman, Jelle J.; Ariyurek, Yavuz; Ossowski, Stephan; Schneeberger, Korbinian; Weigel, Detlef; van Galen, Michiel; Taschner, Peter E. M.; Tops, Carli M. J.; Breuning, Martijn H.; van Ommen, Gert-Jan B.; den Dunnen, Johan T.; Devilee, Peter; Hes, Frederik J.								Deep Sequencing to Reveal New Variants in Pooled DNA Samples								HUMAN MUTATION				30	12			1703	1712		10.1002/humu.21122			DEC 2009	2009										56							WOS:000272796400012		
J	Grini, Paul E.; Thorstensen, Tage; Alm, Vibeke; Vizcay-Barrena, Gema; Windju, Susanne S.; Jorstad, Tommy S.; Wilson, Zoe A.; Aalen, Reidunn B.								The ASH1 HOMOLOG 2 (ASHH2) Histone H3 Methyltransferase Is Required for Ovule and Anther Development in Arabidopsis								PLOS ONE				4	11					e7817	10.1371/journal.pone.0007817			NOV 12 2009	2009										56							WOS:000271721400014		
J	Dawes, Emma J.; Churcher, Thomas S.; Zhuang, Shijie; Sinden, Robert E.; Basanez, Maria-Gloria								Anopheles mortality is both age- and Plasmodium-density dependent: implications for malaria transmission								MALARIA JOURNAL				8						228	10.1186/1475-2875-8-228			OCT 12 2009	2009										56							WOS:000271601400003		
J	de Leeuw, Jan; Hornik, Kurt; Mair, Patrick								Isotone Optimization in R: Pool-Adjacent-Violators Algorithm (PAVA) and Active Set Methods								JOURNAL OF STATISTICAL SOFTWARE				32	5			1	24					OCT 2009	2009										56							WOS:000271534000001		
J	Leprieur, Fabien; Olden, Julian D.; Lek, Sovan; Brosse, Sebastien								Contrasting patterns and mechanisms of spatial turnover for native and exotic freshwater fish in Europe								JOURNAL OF BIOGEOGRAPHY				36	10			1899	1912		10.1111/j.1365-2699.2009.02107.x			OCT 2009	2009										56							WOS:000270070900008		
J	Dutheil, Julien Y.; Ganapathy, Ganesh; Hobolth, Asger; Mailund, Thomas; Uyenoyama, Marcy K.; Schierup, Mikkel H.								Ancestral Population Genomics: The Coalescent Hidden Markov Model Approach								GENETICS				183	1			259	274		10.1534/genetics.109.103010			SEP 2009	2009										56							WOS:000272067000024		
J	Filzmoser, Peter; Hron, Karel; Reimann, Clemens; Garrett, Robert								Robust factor analysis for compositional data								COMPUTERS & GEOSCIENCES				35	9			1854	1861		10.1016/j.cageo.2008.12.005			SEP 2009	2009										56							WOS:000270122600011		
J	Kishi, Shigeki; Nishida, Takayoshi; Tsubaki, Yoshitaka								Reproductive interference determines persistence and exclusion in species interactions								JOURNAL OF ANIMAL ECOLOGY				78	5			1043	1049		10.1111/j.1365-2656.2009.01560.x			SEP 2009	2009										56							WOS:000268531700018		
J	Olea, Pedro P.; Mateo-Tomas, Patricia								The role of traditional farming practices in ecosystem conservation: The case of transhumance and vultures								BIOLOGICAL CONSERVATION				142	8			1844	1853		10.1016/j.biocon.2009.03.024			AUG 2009	2009										56							WOS:000267409300032		
J	Woodcock, Ben A.; Potts, Simon G.; Tscheulin, Thomas; Pilgrim, Emma; Ramsey, Alex J.; Harrison-Cripps, Jennifer; Brown, Valerie K.; Tallowin, Jerry R.								Responses of invertebrate trophic level, feeding guild and body size to the management of improved grassland field margins								JOURNAL OF APPLIED ECOLOGY				46	4			920	929		10.1111/j.1365-2664.2009.01675.x			AUG 2009	2009										56							WOS:000267706000022		
J	Prugh, Laura R.								An evaluation of patch connectivity measures								ECOLOGICAL APPLICATIONS				19	5			1300	1310		10.1890/08-1524.1			JUL 2009	2009										56							WOS:000267020200020		
J	Sobek, Stephanie; Steffan-Dewenter, Ingolf; Scherber, Christoph; Tscharntke, Teja								Spatiotemporal changes of beetle communities across a tree diversity gradient								DIVERSITY AND DISTRIBUTIONS				15	4			660	670		10.1111/j.1472-4642.2009.00570.x			JUL 2009	2009										56							WOS:000266874700011		
J	Stutzmann, F.; Cauchi, S.; Durand, E.; Calvacanti-Proenca, C.; Pigeyre, M.; Hartikainen, A-L; Sovio, U.; Tichet, J.; Marre, M.; Weill, J.; Balkau, B.; Potoczna, N.; Laitinen, J.; Elliott, P.; Jarvelin, M-R; Horber, F.; Meyre, D.; Froguel, P.								Common genetic variation near MC4R is associated with eating behaviour patterns in European populations								INTERNATIONAL JOURNAL OF OBESITY				33	3			373	378		10.1038/ijo.2008.279			MAR 2009	2009										56							WOS:000264243000010		
J	Klingbeil, Brian T.; Willig, Michael R.								Guild-specific responses of bats to landscape composition and configuration in fragmented Amazonian rainforest								JOURNAL OF APPLIED ECOLOGY				46	1			203	213		10.1111/j.1365-2664.2008.01594.x			FEB 2009	2009										56							WOS:000262477800022		
J	Server, A.; Kulle, B.; Maehlen, J.; Josefsen, R.; Schellhorn, T.; Kumar, T.; Langberg, C. W.; Nakstad, P. H.								Quantitative Apparent Diffusion Coefficients in the Characterization of Brain Tumors and Associated Peritumoral Edema								ACTA RADIOLOGICA				50	6			682	689	PII 911226207	10.1080/02841850902933123			2009	2009										56							WOS:000267256400015		
J	van Duijn, Marijtje A. J.; Gile, Krista J.; Handcock, Mark S.								A framework for the comparison of maximum pseudo-likelihood and maximum likelihood estimation of exponential family random graph models								SOCIAL NETWORKS				31	1			52	62		10.1016/j.socnet.2008.10.003			JAN 2009	2009										56							WOS:000262547600006		
J	Patthey, Patrick; Wirthner, Sven; Signorell, Natalina; Arlettaz, Raphael								Impact of outdoor winter sports on the abundance of a key indicator species of alpine ecosystems								JOURNAL OF APPLIED ECOLOGY				45	6			1704	1711		10.1111/j.1365-2664.2008.01547.x			DEC 2008	2008										56							WOS:000260257800018		
J	da Silva-Nunes, Monica; Codeco, Claudia T.; Malafronte, Rosely S.; da Silva, Natal S.; Juncansen, Camila; Muniz, Pascoal T.; Ferreira, Marcelo U.								Malaria on the Amazonian frontier: Transmission dynamics, risk factors, spatial distribution, and prospects for control								AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE				79	4			624	635					OCT 2008	2008										56							WOS:000259858000025		
J	Erdman, Chandra; Emerson, John W.								A fast Bayesian change point analysis for the segmentation of microarray data								BIOINFORMATICS				24	19			2143	2148		10.1093/bioinformatics/btn404			OCT 1 2008	2008										56							WOS:000259581900004		
J	Tisne, Sebastien; Reymond, Matthieu; Vile, Denis; Fabre, Juliette; Dauzat, Myriam; Koornneef, Maarten; Granier, Christine								Combined genetic and modeling approaches reveal that epidermal cell area and number in leaves are controlled by leaf and plant developmental processes in Arabidopsis								PLANT PHYSIOLOGY				148	2			1117	1127		10.1104/pp.108.124271			OCT 2008	2008										56							WOS:000259810400036		
J	Carvalheiro, Luisa G.; Buckley, Yvonne M.; Ventim, Rita; Fowler, Simon V.; Memmott, Jane								Apparent competition can compromise the safety of highly specific biocontrol agents								ECOLOGY LETTERS				11	7			690	700		10.1111/j.1461-0248.2008.01184.x			JUL 2008	2008										56							WOS:000256376900005		
J	Brandstrom, Mikael; Ellegren, Hans								Genome-wide analysis of microsatellite polymorphism in chicken circumventing the ascertainment bias								GENOME RESEARCH				18	6			881	887		10.1101/gr.075242.107			JUN 2008	2008										56							WOS:000256356200005		
J	Gravuer, Kelly; Sullivan, Jon J.; Williams, Peter A.; Duncan, Richard P.								Strong human association with plant invasion success for Trifolium introductions to New Zealand								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				105	17			6344	6349		10.1073/pnas.0712026105			APR 29 2008	2008										56							WOS:000255534100025		
J	Kery, Marc								Estimating abundance from bird counts: Binomial mixture models uncover complex covariate relationships								AUK				125	2			336	345		10.1525/auk.2008.06185			APR 2008	2008										56							WOS:000257193800010		
J	Haviland, Amelia; Rosenbaum, Paul R.; Nagin, Daniel S.; Tremblay, Richard E.								Combining group-based trajectory modeling and propensity score matching for causal inferences in nonexperimental longitudinal data								DEVELOPMENTAL PSYCHOLOGY				44	2			422	436		10.1037/0012-1649.44.2.422			MAR 2008	2008										56							WOS:000254115200011		
J	Ong, Cheryl-Lynn Y.; Ulett, Glen C.; Mabbett, Amanda N.; Beatson, Scott A.; Webb, Richard I.; Monaghan, Wayne; Nimmo, Graeme R.; Looke, David F.; McEwan, Alastair G.; Schembri, Mark A.								Identification of type 3 fimbriae in uropathogenic Escherichia coli reveals a role in biofilm formation								JOURNAL OF BACTERIOLOGY				190	3			1054	1063		10.1128/JB.01523-07			FEB 2008	2008										56							WOS:000252616800031		
J	Dusick, Joshua R.; McArthur, David L.; Bergsneider, Marvin								Success and complication rates of endoscopic third ventriculostomy for adult hydrocephalus: a series of 108 patients								SURGICAL NEUROLOGY				69	1			5	15		10.1016/j.surneu.2007.08.024			JAN 2008	2008										56							WOS:000252174800001		
J	Harth, Volker; Schaefer, Martin; Abel, Josef; Maintz, Laura; Neuhaus, Thomas; Besuden, Mette; Primke, Robert; Wilkesmann, Anja; Thier, Ricarda; Vetter, Hans; Ko, Yon-Dschun; Bruening, Thomas; Bolt, Hermann M.; Ickstadt, Katja								Head and neck squamous-cell cancer and its association with polymorphic enzymes of xenobiotic metabolism and repair								JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES				71	13-14			887	897		10.1080/15287390801988160			2008	2008						Symposium on Environmental Toxicology in North Rhine-Westphalia, Germany - Interdisciplinary Research Activities in Toxicology, Statistics, Hygiene and Medicine	MAY 10-11, 2007		Dortmund, GERMANY	56							WOS:000256942300009		
J	Martinez-Pastor, F.; Fernandez-Santos, M. R.; del Olmo, E.; Dominguez-Rebolledo, A. E.; Esteso, M. C.; Montoro, V.; Garde, J. J.								Mitochondrial activity and forward scatter vary in necrotic, apoptotic and membrane-intact spermatozoan subpopulations								REPRODUCTION FERTILITY AND DEVELOPMENT				20	5			547	556		10.1071/RD08002			2008	2008										56							WOS:000256292300001		
J	Kuussaari, Mikko; Heliola, Janne; Luoto, Miska; Poyry, Juha								Determinants of local species richness of diurnal Lepidoptera in boreal agricultural landscapes								AGRICULTURE ECOSYSTEMS & ENVIRONMENT				122	3			366	376		10.1016/j.agee.2007.02.008			NOV 2007	2007										56							WOS:000248072500010		
J	Kaeuffer, R.; Reale, D.; Coltman, D. W.; Pontier, D.								Detecting population structure using STRUCTURE software: effect of background linkage disequilibrium								HEREDITY				99	4			374	380		10.1038/sj.hdy.6801010			OCT 2007	2007										56							WOS:000249720900005		
J	Jacobsohn, David A.; Chen, Allen R.; Zahurak, Marianna; Piantadosi, Steven; Anders, Viki; Bolanos-Meade, Javier; Higman, Meghan; Margolis, Jeffrey; Kaup, Michele; Vogelsang, Georgia B.								Phase II study of Pentostatin in patients with corticosteroid-refractory chronic graft-versus-host disease								JOURNAL OF CLINICAL ONCOLOGY				25	27			4255	4261		10.1200/JCO.2007.10.8456			SEP 20 2007	2007						47th Annual Meeting of the American-Society-of-Hematology	DEC 10-13, 2005	Amer Soc Hematol	Atlanta, GA	56							WOS:000251073200018		
