PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Rittenhouse, Chadwick D.; Pidgeon, Anna M.; Albright, Thomas P.; Culbert, Patrick D.; Clayton, Murray K.; Flather, Curtis H.; Masek, Jeffrey G.; Radeloff, Volker C.								Land-Cover Change and Avian Diversity in the Conterminous United States								CONSERVATION BIOLOGY				26	5			821	829		10.1111/j.1523-1739.2012.01867.x			OCT 2012	2012										22							WOS:000308484500008		
J	Wilson, Shaun K.; Babcock, Russ C.; Fisher, Rebecca; Holmes, Thomas H.; Moore, James A. Y.; Thomson, Damian P.								Relative and combined effects of habitat and fishing on reef fish communities across a limited fishing gradient at Ningaloo								MARINE ENVIRONMENTAL RESEARCH				81				1	11		10.1016/j.marenvres.2012.08.002			OCT 2012	2012										22							WOS:000311525800001		
J	Verges, Adriana; Bennett, Scott; Bellwood, David R.								Diversity among Macroalgae-Consuming Fishes on Coral Reefs: A Transcontinental Comparison								PLOS ONE				7	9					e45543	10.1371/journal.pone.0045543			SEP 20 2012	2012										22							WOS:000309388900070		
J	Mata-Campuzano, M.; Alvarez-Rodriguez, M.; del Olmo, E.; Fernandez-Santos, M. R.; Garde, J. J.; Martinez-Pastor, F.								Quality, oxidative markers and DNA damage (DNA) fragmentation of red deer thawed spermatozoa after incubation at 37 degrees C in presence of several antioxidants								THERIOGENOLOGY				78	5			1005	1019		10.1016/j.theriogenology.2011.12.018			SEP 15 2012	2012										22							WOS:000308628200007		
J	Everett, Dean B.; Cornick, Jennifer; Denis, Brigitte; Chewapreecha, Claire; Croucher, Nicholas; Harris, Simon; Parkhill, Julian; Gordon, Stephen; Carrol, Enitan D.; French, Neil; Heyderman, Robert S.; Bentley, Stephen D.								Genetic Characterisation of Malawian Pneumococci Prior to the Roll-Out of the PCV13 Vaccine Using a High-Throughput Whole Genome Sequencing Approach								PLOS ONE				7	9					e44250	10.1371/journal.pone.0044250			SEP 10 2012	2012										22							WOS:000308748400014		
J	Cresci, Sharon; Dorn, Gerald W., II; Jones, Philip G.; Beitelshees, Amber L.; Li, Allie Y.; Lenzini, Petra A.; Province, Michael A.; Spertus, John A.; Lanfear, David E.								Adrenergic-Pathway Gene Variants Influence Beta-Blocker-Related Outcomes After Acute Coronary Syndrome in a Race-Specific Manner								JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY				60	10			898	907		10.1016/j.jacc.2012.02.051			SEP 4 2012	2012										22							WOS:000308425000006		
J	Bergen, Leon; Grodner, Daniel J.								Speaker Knowledge Influences the Comprehension of Pragmatic Inferences								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				38	5			1450	1460		10.1037/a0027850			SEP 2012	2012										22							WOS:000307952700024		
J	Collins, Luke; Bradstock, Ross A.; Tasker, Elizabeth M.; Whelan, Robert J.								Can gullies preserve complex forest structure in frequently burnt landscapes?								BIOLOGICAL CONSERVATION				153				177	186		10.1016/j.biocon.2012.04.021			SEP 2012	2012										22							WOS:000307917800023		
J	Correa, Cristian; Bravo, Andrea P.; Hendry, Andrew P.								Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes								FRESHWATER BIOLOGY				57	9			1769	1781		10.1111/j.1365-2427.2012.02837.x			SEP 2012	2012										22							WOS:000306736200002		
J	Diaz-Fernandez, Silvia; Vinuela, Javier; Arroyo, Beatriz								Harvest of red-legged partridge in central Spain								JOURNAL OF WILDLIFE MANAGEMENT				76	7			1354	1363		10.1002/jwmg.391			SEP 2012	2012										22							WOS:000307965900003		
