PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Zammit-Mangion, Andrew; Bamber, Jonathan L.; Schoen, Nana W.; Rougier, Jonathan C.								A data-driven approach for assessing ice-sheet mass balance in space and time								ANNALS OF GLACIOLOGY				56	70			175	183		10.3189/2015AoG70A021			2015	2015										7							WOS:000363001700021		
J	Guido, Davide; Morandi, Gabriella; Palluzzi, Fernando; Borroni, Barbara								Telling the Story of Frontotemporal Dementia by Bibliometric Analysis								JOURNAL OF ALZHEIMERS DISEASE				48	3			703	709		10.3233/JAD-150275			2015	2015										2							WOS:000362958800013		
J	Siegmann, Bastian; Jarmer, Thomas								Comparison of different regression models and validation techniques for the assessment of wheat leaf area index from hyperspectral data								INTERNATIONAL JOURNAL OF REMOTE SENSING				36	18			4519	4534		10.1080/01431161.2015.1084438			2015	2015										11							WOS:000362683500002		
J	van der Maaten-Theunissen, Marieke; van der Maaten, Ernst; Bouriaud, Olivier								pointRes: An R package to analyze pointer years and components of resilience								DENDROCHRONOLOGIA				35				34	38		10.1016/j.dendro.2015.05.006			2015	2015										21							WOS:000362926500005		
J	Samonil, Pavel; Kotik, Lukas; Vasickova, Ivana								Uncertainty in detecting the disturbance history of forest ecosystems using dendrochronology								DENDROCHRONOLOGIA				35				51	61		10.1016/j.dendro.2015.05.005			2015	2015										4							WOS:000362926500007		
J	Alejandra Giantomasi, Maria; Agustin Alvarez, Juan; Eugenio Villagra, Pablo; Debandi, Guillermo; Alejandro Roig-Junent, Fidel								Pruning effects on ring width and wood hydrosystem of Prosopis flexuosa DC from arid woodlands								DENDROCHRONOLOGIA				35				71	79		10.1016/j.dendro.2015.07.002			2015	2015										2							WOS:000362926500009		
J	Carvalho, Mariana; Rego, Francisco; Palmeirim, Jorge M.; Fa, John E.								Wild meat consumption on Sao Tome Island, West Africa: implications for conservation and local livelihoods								ECOLOGY AND SOCIETY				20	3					27	10.5751/ES-07831-200327			2015	2015										4							WOS:000362913100041		
J	Ingram, Daniel J.; Coad, Lauren; Ben Collen; Kuempel, Noelle F.; Breuer, Thomas; Fa, John E.; Gill, David J. C.; Maisels, Fiona; Schleicher, Judith; Stokes, Emma J.; Taylor, Gemma; Scharlemann, Joern P. W.								Indicators for wild animal offtake: methods and case study for African mammals and birds								ECOLOGY AND SOCIETY				20	3					40	10.5751/ES-07823-200340			2015	2015										7							WOS:000362913100039		
J	Liu, Jianguo; Hull, Vanessa; Luo, Junyan; Yang, Wu; Liu, Wei; Vina, Andres; Vogt, Christine; Xu, Zhenci; Yang, Hongbo; Zhang, Jindong; An, Li; Chen, Xiaodong; Li, Shuxin; Ouyang, Zhiyun; Xu, Weihua; Zhang, Hemin								Multiple telecouplings and their complex interrelationships								ECOLOGY AND SOCIETY				20	3					44	10.5751/ES-07868-200344			2015	2015										26							WOS:000362913100045		
J	Matous, Petr								Social networks and environmental management at multiple levels: soil conservation in Sumatra								ECOLOGY AND SOCIETY				20	3					37	10.5751/ES-07816-200337			2015	2015										5							WOS:000362913100036		
J	Perez, Irene; Yu, David J.; Janssen, Marco A.; Anderies, John M.								Social roles and performance of social-ecological systems: evidence from behavioral lab experiments								ECOLOGY AND SOCIETY				20	3					23	10.5751/ES-07493-200323			2015	2015										3							WOS:000362913100005		
J	Pinto, Fabio; Soares, Carlos; Brazdil, Pavel								Combining regression models and metaheuristics to optimize space allocation in the retail industry								INTELLIGENT DATA ANALYSIS				19				S149	S162		10.3233/IDA-150775			2015	2015										1							WOS:000362966800010		
J	Oney, B.; Henne, S.; Gruber, N.; Leuenberger, M.; Bamberger, I.; Eugster, W.; Brunner, D.								The CarboCount CH sites: characterization of a dense greenhouse gas observation network								ATMOSPHERIC CHEMISTRY AND PHYSICS				15	19			11147	11164		10.5194/acp-15-11147-2015			2015	2015										14							WOS:000362971000015		
J	Roell, A.; Niu, F.; Meijide, A.; Hardanto, A.; Hendrayanto; Knohl, A.; Hoelscher, D.								Transpiration in an oil palm landscape: effects of palm age								BIOGEOSCIENCES				12	19			5619	5633		10.5194/bg-12-5619-2015			2015	2015										11							WOS:000362972200004		
J	Becker, J.; Pabst, H.; Mnyonga, J.; Kuzyakov, Y.								Annual litterfall dynamics and nutrient deposition depending on elevation and land use at Mt. Kilimanjaro								BIOGEOSCIENCES				12	19			5635	5646		10.5194/bg-12-5635-2015			2015	2015										4							WOS:000362972200005		
