PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Serinaldi, Francesco								Dismissing return periods!								STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT				29	4			1179	1189		10.1007/s00477-014-0916-1			MAY 2015	2015										53							WOS:000353516400008		
J	Serinaldi, Francesco; Bardossy, Andras; Kilsby, Chris G.								Upper tail dependence in rainfall extremes: would we know it if we saw it?								STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT				29	4			1211	1233		10.1007/s00477-014-0946-8			MAY 2015	2015										13							WOS:000353516400011		
J	Fieder, Martin; Huber, Susanne								Paternal Age Predicts Offspring Chances of Marriage and Reproduction								AMERICAN JOURNAL OF HUMAN BIOLOGY				27	3			339	343		10.1002/ajhb.22644			MAY-JUN 2015	2015										5							WOS:000353299400007		
J	Sans, Monica; Mones, Pablo; Figueiro, Gonzalo; Barreto, Isabel; Motti, Josefina M. B.; Coble, Michael D.; Bravi, Claudio M.; Hidalgo, Pedro C.								The Mitochondrial DNA History of a Former Native American Village in Northern Uruguay								AMERICAN JOURNAL OF HUMAN BIOLOGY				27	3			407	416		10.1002/ajhb.22667			MAY-JUN 2015	2015										2							WOS:000353299400015		
J	Golinelli, Daniela; Tucker, Joan S.; Ryan, Gery W.; Wenzel, Suzanne L.								Strategies for Obtaining Probability Samples of Homeless Youth								FIELD METHODS				27	2			131	143		10.1177/1525822X14547500			MAY 2015	2015										7							WOS:000353037900002		
J	Medeiros, Hugo Reis; Bochio, Gabriela Menezes; Ribeiro, Milton Cezar; Torezan, Jose Marcelo; dos Anjos, Luiz								Combining plant and bird data increases the accuracy of an Index of Biotic Integrity to assess conservation levels of tropical forest fragments								JOURNAL FOR NATURE CONSERVATION				25				1	7		10.1016/j.jnc.2015.01.008			MAY 2015	2015										5							WOS:000353339700001		
J	Skokanova, Hana; Unar, Pavel; Janik, David; Havlicek, Marek								Potential influence of river engineering in two West Carpathian rivers on the conservation management of Calamagrostis pseudophragmites								JOURNAL FOR NATURE CONSERVATION				25				42	50		10.1016/j.jnc.2015.03.002			MAY 2015	2015										0							WOS:000353339700006		
J	Vuorinen, Irmeli; Hamberg, Leena; Muller, Michael; Seiskari, Pekka; Pennanen, Taina								Development of growth media for solid substrate propagation of ectomycorrhizal fungi for inoculation of Norway spruce (Picea abies) seedlings								MYCORRHIZA				25	4			311	324		10.1007/s00572-014-0611-6			MAY 2015	2015										1							WOS:000353234500007		
J	Uddin, Md Jamal; Groenwold, Rolf H. H.; van Staa, Tjeerd P.; de Boer, Anthonius; Belitser, Svetlana V.; Hoes, Arno W.; Roes, Kit C. B.; Klungel, Olaf H.								Performance of prior event rate ratio adjustment method in pharmacoepidemiology: a simulation study								PHARMACOEPIDEMIOLOGY AND DRUG SAFETY				24	5			468	477		10.1002/pds.3724			MAY 2015	2015										8							WOS:000353408700003		
J	Westerlind, Helga; Imrell, Kerstin; Ramanujam, Ryan; Myhr, Kjell-Morten; Celius, Elisabeth Gulowsen; Harbo, Hanne F.; Oturai, Annette Bang; Hamsten, Anders; Alfredsson, Lars; Olsson, Tomas; Kockum, Ingrid; Koski, Timo; Hillert, Jan								Identity-by-descent mapping in a Scandinavian multiple sclerosis cohort								EUROPEAN JOURNAL OF HUMAN GENETICS				23	5			688	692		10.1038/ejhg.2014.155			MAY 2015	2015										5							WOS:000353028200022		
J	Ziadi, Boutheina; Dhib, Amel; Turki, Souad; Aleya, Lotfi								Bivalve and barnacle larvae distribution driven by water temperature in a Mediterranean lagoon								ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH				22	9			7002	7011		10.1007/s11356-014-3918-0			MAY 2015	2015										2							WOS:000353046600057		
J	Kovach, Ryan P.; Ellison, Stephen C.; Pyare, Sanjay; Tallmon, David A.								Temporal patterns in adult salmon migration timing across southeast Alaska								GLOBAL CHANGE BIOLOGY				21	5			1821	1833		10.1111/gcb.12829			MAY 2015	2015										15							WOS:000353220500007		
J	Kanno, Yoichiro; Letcher, Benjamin H.; Hitt, Nathaniel P.; Boughton, David A.; Wofford, John E. B.; Zipkin, Elise F.								Seasonal weather patterns drive population vital rates and persistence in a stream fish								GLOBAL CHANGE BIOLOGY				21	5			1856	1870		10.1111/gcb.12837			MAY 2015	2015										20							WOS:000353220500010		
J	Peters, Richard L.; Groenendijk, Peter; Vlam, Mart; Zuidema, Pieter A.								Detecting long-term growth trends using tree rings: a critical evaluation of methods								GLOBAL CHANGE BIOLOGY				21	5			2040	2054		10.1111/gcb.12826			MAY 2015	2015										37							WOS:000353220500023		
