PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Miguel-Chinchilla, Leticia; Boix, Dani; Gascon, Stephanie; Comin, Francisco A.								Macroinvertebrate biodiversity patterns during primary succession in manmade ponds in north-eastern Spain								JOURNAL OF LIMNOLOGY				73	3			428	440		10.4081/jlimnol.2014.936			2014	2014										1							WOS:000352402900003		
J	Tiberti, Rocco; Brighenti, Stefano; Iacobuzio, Rocco; Pasquini, Giulia; Rolla, Matteo								Behind the impact of introduced trout in high altitude lakes: adult, not juvenile fish are responsible of the selective predation on crustacean zooplankton								JOURNAL OF LIMNOLOGY				73	3			593	597		10.4081/jlimnol.2014.969			2014	2014										5							WOS:000352402900018		
J	de Moura, Anderson Barbosa; Gueths, Marcelo Felipe; Farias, Juliana Antunes; de Souza, Antonio Pereira; Sartor, Amelia Aparecida; de Quadros, Rosileia Marinho								Neospora caninum seroprevalence and risk factors for ewes from Santa Catarina Plateau, Brazil								SEMINA-CIENCIAS AGRARIAS				35	5			2591	2600		10.5433/1679-0359.2014v35n5p2591			2014	2014										2							WOS:000352019800029		
J	Niedzielski, Britney; Bowman, Jeff								Survival and cause-specific mortality of the female eastern wild turkey at its northern range edge								WILDLIFE RESEARCH				41	7			545	551		10.1071/WR14061			2014	2014										1							WOS:000351581500001		
J	Sharp, T. M.; Mcleod, S. R.; Leggett, K. E. A.; Gibson, T. J.								Evaluation of a spring-powered captive bolt gun for killing kangaroo pouch young								WILDLIFE RESEARCH				41	7			623	632		10.1071/WR14094			2014	2014										10							WOS:000351581500009		
J	Ito, Chiyuki								Compound tensification and laryngeal co-occurrence restrictions in Yanbian Korean								PHONOLOGY				31	3			349	398		10.1017/S0952675714000190			2014	2014										1							WOS:000351036600001		
J	Sriplung, Hutcha; Bilheem, Surichai; Kuntipundee, Tirada; Geater, Sarayut Lucian								Differences in Cancer Incidence among Predominantly Muslim and Buddhist Subpopulations in Songkhla								ASIAN PACIFIC JOURNAL OF CANCER PREVENTION				15	22			9979	9983		10.7314/APJCP.2014.15.22.9979			2014	2014										8							WOS:000351056900073		
J	Sriplung, Hutcha; Singkham, Phathai; Iamsirithaworn, Sopon; Jiraphongsa, Chuleeporn; Bilheem, Surichai								Success of a Cervical Cancer Screening Program: Trends in Incidence in Songkhla, Southern Thailand, 1989-2010, and Prediction of Future Incidences to 2030								ASIAN PACIFIC JOURNAL OF CANCER PREVENTION				15	22			10003	10008		10.7314/APJCP.2014.15.22.10003			2014	2014										8							WOS:000351056900076		
J	Braun, Rosemary								Systems Analysis of High-Throughput Data								Advances in Experimental Medicine and Biology				844				153	187		10.1007/978-1-4939-2095-2_8			2014	2014										9							WOS:000350414400010		
J	Rao, Rajiv								On the status of the phoneme /b/ in heritage speakers of Spanish								SINTAGMA				26				37	54					2014	2014										3							WOS:000350830000003		
J	Epifani, Ilenia; Ladelli, Lucia; Pievatolo, Antonio								Bayesian estimation for a parametric Markov Renewal model applied to seismic data								ELECTRONIC JOURNAL OF STATISTICS				8				2264	2295		10.1214/14-EJS952			2014	2014										2							WOS:000350817200043		
J	Ziegel, Johanna F.; Gneiting, Tilmann								Copula calibration								ELECTRONIC JOURNAL OF STATISTICS				8				2619	2638		10.1214/14-EJS964			2014	2014										2							WOS:000350817200054		
J	Athreya, Krishna B.; Roy, Vivekananda								Monte Carlo methods for improper target distributions								ELECTRONIC JOURNAL OF STATISTICS				8				2664	2692		10.1214/14-EJS969			2014	2014										6							WOS:000350817200056		
J	Nguyen, Phong; Hilario, Melanie; Kalousis, Alexandros								Using Meta-mining to Support Data Mining Workflow Planning and Optimization								JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH				51				605	644		10.1613/jair.4377			2014	2014										7							WOS:000350466400005		
J	Baranovska, Eliska; Knapp, Michal; Saska, Pavel								The effects of overwintering, sex, year, field identity and vegetation at the boundary of fields on the body condition of Anchomenus dorsalis (Coleoptera: Carabidae)								EUROPEAN JOURNAL OF ENTOMOLOGY				111	5			608	614					2014	2014										3							WOS:000350302500003		
J	Saska, Pavel; Vlach, Miroslav; Schmidtova, Jana; Matalin, Andrey V.								Thermal constants of egg development in carabid beetles - variation resulting from using different estimation methods and among geographically distant European populations								EUROPEAN JOURNAL OF ENTOMOLOGY				111	5			621	630					2014	2014										1							WOS:000350302500005		
J	Ferrante, Marco; Lo Cacciato, Alessandro; Lovei, Gabor L.								Quantifying predation pressure along an urbanisation gradient in Denmark using artificial caterpillars								EUROPEAN JOURNAL OF ENTOMOLOGY				111	5			649	654					2014	2014										12							WOS:000350302500008		
J	Elek, Zoltan; Drag, Lukas; Pokluda, Pavel; Cizek, Lukas; Berces, Sandor								Dispersal of individuals of the flightless grassland ground beetle, Carabus hungaricus (Coleoptera: Carabidae), in three populations and what they tell us about mobility estimates based on mark-recapture								EUROPEAN JOURNAL OF ENTOMOLOGY				111	5			663	668					2014	2014										7							WOS:000350302500010		
J	Venn, Stephen; Kotze, D. Johan								Benign neglect enhances urban habitat heterogeneity: Responses of vegetation and carabid beetles (Coleoptera: Carabidae) to the cessation of mowing of park lawns								EUROPEAN JOURNAL OF ENTOMOLOGY				111	5			703	714					2014	2014										2							WOS:000350302500015		
J	Brigic, Andreja; Starcevic, Marija; Hrasovec, Boris; Elek, Zoltan								Old forest edges may promote the distribution of forest species in carabid assemblages (Coleoptera: Carabidae) in Croatian forests								EUROPEAN JOURNAL OF ENTOMOLOGY				111	5			715	725					2014	2014										3							WOS:000350302500016		
J	Moszynski, Rafal; Zywica, Patryk; Wojtowicz, Andrzej; Szubert, Sebastian; Sajdak, Stefan; Stachowiak, Anna; Dyczkowski, Krzysztof; Wygralak, Maciej; Szpurek, Dariusz								Menopausal status strongly influences the utility of predictive models in differential diagnosis of ovarian tumors: An external validation of selected diagnostic tools								GINEKOLOGIA POLSKA				85	12			892	899					2014	2014										7							WOS:000350399500001		
J	Anibal Stellatelli, Oscar; Block, Carolina; Estela Vega, Laura; Benjamin Cruz, Felix								Responses of two sympatric sand lizards to exotic forestations in the coastal dunes of Argentina: some implications for conservation								WILDLIFE RESEARCH				41	6			480	489		10.1071/WR14078			2014	2014										5							WOS:000350284200003		
J	Noventa, S.; Anselmi, P.; Tagliabue, M.; Vidotto, G.								Functional measurement in consumer evaluation of market products								PSICOLOGICA				35	3			527	541					2014	2014										0							WOS:000350398700008		
J	Nogueira, A. M.; Ferreira, M. F. S.; Guilhen, J. H. S.; Ferreira, A.								Multivariate analysis in a genetic divergence study of Psidium guajava								GENETICS AND MOLECULAR RESEARCH				13	4			10657	10668		10.4238/2014.December.18.8			2014	2014										1							WOS:000350229200103		
J	Lebedev, A. V.; Westman, E.; Van Westen, G. J. P.; Kramberger, M. G.; Lundervold, A.; Aarsland, D.; Soininen, H.; Kloszewska, I.; Mecocci, P.; Tsolaki, M.; Vellas, B.; Lovestone, S.; Simmons, A.		Alzheimers Dis Neuroimaging Initia						Random Forest ensembles for detection and prediction of Alzheimer's disease with a good between-cohort robustness								NEUROIMAGE-CLINICAL				6				115	125		10.1016/j.nicl.2014.08.023			2014	2014										36							WOS:000349668500014		
J	Boudes, Elodie; Gilbert, Guillaume; Leppert, Ilana Ruth; Tan, Xianming; Pike, G. Bruce; Saint-Martin, Christine; Wintermark, Pia								Measurement of brain perfusion in newborns: Pulsed arterial spin labeling (PASL) versus pseudo-continuous arterial spin labeling (pCASL)								NEUROIMAGE-CLINICAL				6				126	133		10.1016/j.nicl.2014.08.010			2014	2014										13							WOS:000349668500015		
J	Al-Hawija, Batoul N.; Wagner, Viktoria; Partzsch, Monika; Hensen, Isabell								Germination differences between natural and afforested populations of Pinus brutia and Cupressus sempervirens								SILVA FENNICA				48	4					1176	10.14214/sf.1176			2014	2014										0							WOS:000346663500005		
J	Bergqvist, Goran; Bergstrom, Roger; Wallgren, Martha								Recent browsing damage by moose on Scots pine, birch and aspen in young commercial forests - effects of forage availability, moose population density and site productivity								SILVA FENNICA				48	1					1077	10.14214/sf.1077			2014	2014										7							WOS:000331944400008		
J	Szmyt, Janusz								Spatial statistics in ecological analysis: from indices to functions								SILVA FENNICA				48	1					1008	10.14214/sf.1008			2014	2014										10							WOS:000331944400006		
J	Tuominen, Sakari; Pitkanen, Juho; Balazs, Andras; Korhonen, Kari T.; Hyvonen, Pekka; Muinonen, Eero								NFI plots as complementary reference data in forest inventory based on airborne laser scanning and aerial photography in Finland								SILVA FENNICA				48	2					983	10.14214/sf.983			2014	2014										10							WOS:000338435700008		
J	Volkova, Polina; Shipunov, Alexey; Borisova, Polina; Moseng, Reed; Ivens, Ranelle								In search of hybridity: the case of Karelian spruces								SILVA FENNICA				48	2					1072	10.14214/sf.1072			2014	2014										1							WOS:000338435700004		
J	Humphrey, Jennifer; Wilberg, Michael J.; Houde, Edward D.; Fabrizio, Mary C.								Effects of Temperature on Age-0 Atlantic Menhaden Growth in Chesapeake Bay								TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY				143	5			1255	1265		10.1080/00028487.2014.931299			2014	2014										3							WOS:000350303600001		
J	Loecher, Markus; Ropkins, Karl								RgoogleMaps and loa: Unleashing R Graphics Power on Map Tiles								JOURNAL OF STATISTICAL SOFTWARE				63	4			1	18					JAN 2014	2014										14							WOS:000349845100001		
J	Niino, Masahiro; Hosaka, Tetsuro; Kon, Masahiro; Ochi, Teruo; Yamada, Toshihiro; Okuda, Toshinori								Diel flight activity and habitat preference of dung beetles (Coleoptera: Scarabaeidae) in Peninsular Malaysia								RAFFLES BULLETIN OF ZOOLOGY				62				795	804					2014	2014										1							WOS:000350060800007		
J	Rutledge, M. Elizabeth; Sollmann, Rahel; Washburn, Brian E.; Moorman, Christopher E.; DePerno, Christopher S.								Using novel spatial mark-resight techniques to monitor resident Canada geese in a suburban environment								WILDLIFE RESEARCH				41	5			447	453		10.1071/WR14069			2014	2014										3							WOS:000350154800007		
J	Bolivar-Cime, Beatriz; Laborde, Javier; MacSwiney G, M. Cristina; Sosa, Vinicio J.								Effects of landscape matrix type, patch quality and seasonality on the diet of frugivorous bats in tropical semi-deciduous forest								WILDLIFE RESEARCH				41	5			454	464		10.1071/WR13185			2014	2014										4							WOS:000350154800008		
J	Olego, M. A.; Coque, J. J. R.; Garzon Jimeno, E.								Application of Sugar Foam to Vineyard Acid Soils under Mediterranean Conditions								SOUTH AFRICAN JOURNAL OF ENOLOGY AND VITICULTURE				35	2			178	184					2014	2014										1							WOS:000350082500001		
J	Bogoni, Juliano A.; Hernandez, Malva I. M.								Attractiveness of Native Mammal's Feces of Different Trophic Guilds to Dung Beetles (Coleoptera: Scarabaeinae)								JOURNAL OF INSECT SCIENCE				14						299	10.1093/jisesa/ieu161			JAN 1 2014	2014										10							WOS:000349770200138		
J	Knapp, Michal; Uhnava, Klara								Body Size and Nutrition Intake Effects on Fecundity and Overwintering Success in Anchomenus dorsalis (Coleoptera: Carabidae)								JOURNAL OF INSECT SCIENCE				14						240	10.1093/jisesa/ieu102			JAN 1 2014	2014										3							WOS:000349770200080		
J	Pereira de Sousa, Jose Roberto; Esposito, Maria Cristina; Carvalho Filho, Fernando da Silva; Juen, Leandro								The Potential Uses of Sarcosaprophagous Flesh Flies and Blowflies for the Evaluation of the Regeneration and Conservation of Forest Clearings: A Case Study in the Amazon Forest								JOURNAL OF INSECT SCIENCE				14						215	10.1093/jisesa/ieu077			JAN 1 2014	2014										0							WOS:000349770200057		
J	Sheng, Sheng; Feng, Sufang; Meng, Ling; Li, Baoping								Departure Mechanisms for Host Search on High-Density Patches by the Meteorus pulchricornis								JOURNAL OF INSECT SCIENCE				14						205	10.1093/jisesa/ieu067			JAN 1 2014	2014										1							WOS:000349770200048		
J	Tesserolli de Souza, Jana Magaly; Marinoni, Renato Contin; Marinoni, Luciane								Open and Disturbed Habitats Support Higher Diversity of Syrphidae (Diptera)? A Case Study During Three Yr of Sampling in a Fragment of Araucaria Forest in Southern Brazil								JOURNAL OF INSECT SCIENCE				14						236	10.1093/jisesa/ieu098			JAN 1 2014	2014										0							WOS:000349770200076		
