PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Kaya, Alaattin; Gerashchenko, Maxim V.; Seim, Inge; Labarre, Jean; Toledano, Michel B.; Gladyshev, Vadim N.								Adaptive aneuploidy protects against thiol peroxidase deficiency by increasing respiration via key mitochondrial proteins								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				112	34			10685	10690		10.1073/pnas.1505315112			AUG 25 2015	2015										17							WOS:000360005600051		
J	Duque, Alvaro; Stevenson, Pablo R.; Feeley, Kenneth J.								Thermophilization of adult and juvenile tree communities in the northern tropical Andes								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				112	34			10744	10749		10.1073/pnas.1506570112			AUG 25 2015	2015										21							WOS:000360005600061		
J	McCarthy, Maureen S.; Lester, Jack D.; Howe, Eric J.; Arandjelovic, Mimi; Stanford, Craig B.; Vigilant, Linda								Genetic censusing identifies an unexpectedly sizeable population of an endangered large mammal in a fragmented forest landscape								BMC ECOLOGY				15						21	10.1186/s12898-015-0052-x			AUG 25 2015	2015										17							WOS:000360034400001		
J	Bryant, Jessica V.; Olson, Valerie A.; Chatterjee, Helen J.; Turvey, Samuel T.								Identifying environmental versus phylogenetic correlates of behavioural ecology in gibbons: implications for conservation management of the world's rarest ape								BMC EVOLUTIONARY BIOLOGY				15						171	10.1186/s12862-015-0430-1			AUG 25 2015	2015										2							WOS:000359971600001		
J	Castello, Matteo Visconti di Oleggio; Gobbini, M. Ida								Familiar Face Detection in 180ms								PLOS ONE				10	8					e0136548	10.1371/journal.pone.0136548			AUG 25 2015	2015										12							WOS:000359995500089		
J	Chen, Ying-Yeh; Chen, Feng; Chang, Shu-Sen; Wong, Jacky; Yip, Paul S. F.								Assessing the Efficacy of Restricting Access to Barbecue Charcoal for Suicide Prevention in Taiwan: A Community-Based Intervention Trial								PLOS ONE				10	8					e0133809	10.1371/journal.pone.0133809			AUG 25 2015	2015										62							WOS:000359995500004		
J	Milenkaya, Olga; Catlin, Daniel H.; Legge, Sarah; Walters, Jeffrey R.								Body Condition Indices Predict Reproductive Success but Not Survival in a Sedentary, Tropical Bird								PLOS ONE				10	8					e0136582	10.1371/journal.pone.0136582			AUG 25 2015	2015										6							WOS:000359995500095		
J	Hirshorn, Elizabeth A.; Dye, Matthew W. G.; Hauser, Peter; Supalla, Ted R.; Bavelier, Daphne								The contribution of phonological knowledge, memory, and language background to reading comprehension in deaf populations								FRONTIERS IN PSYCHOLOGY				6						1153	10.3389/fpsyg.2015.01153			AUG 25 2015	2015										7							WOS:000360044000001		
J	Balachandran, Prasanna V.; Theiler, James; Rondinelli, James M.; Lookman, Turab								Materials Prediction via Classification Learning								SCIENTIFIC REPORTS				5						13285	10.1038/srep13285			AUG 25 2015	2015										24							WOS:000360023200001		
J	Steinbaugh, Michael J.; Narasimhan, Sri Devi; Robida-Stubbs, Stacey; Mazzeo, Lorenza E. Moronetti; Dreyfuss, Jonathan M.; Hourihan, John M.; Raghavan, Prashant; Operana, Theresa N.; Esmaillie, Reza; Blackwell, T. Keith								Lipid-mediated regulation of SKN-1/Nrf in response to germ cell absence								ELIFE				4						e07836	10.7554/eLife.07836			AUG 24 2015	2015										41							WOS:000373816500001		
