PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Tahara, Rui; Larsson, Hans C. E.								Quantitative analysis of microscopic X-ray computed tomography imaging: Japanese quail embryonic soft tissues with iodine staining								JOURNAL OF ANATOMY				223	3			297	310					SEP 2013	2013																			
J	Taylor, Michelle L.; Yesson, Chris; Agnew, David J.; Mitchell, Rebecca E.; Rogers, Alex D.								Using fisheries by-catch data to predict octocoral habitat suitability around South Georgia								JOURNAL OF BIOGEOGRAPHY				40	9			1688	1701					SEP 2013	2013																			
J	Bjornerem, Ashild; Quang Minh Bui; Ghasem-Zadeh, Ali; Hopper, John L.; Zebaze, Roger; Seeman, Ego								Fracture risk and height: An association partly accounted for by cortical porosity of relatively thinner cortices								JOURNAL OF BONE AND MINERAL RESEARCH				28	9			2017	2026					SEP 2013	2013																			
J	Hiller, Rachel M.; Weber, Nathan								A comparison of adults' and children's metacognition for yes/no recognition decisions								JOURNAL OF APPLIED RESEARCH IN MEMORY AND COGNITION				2	3			185	191					SEP 2013	2013																			
J	Friedman, Elliot S.; Miller, Kimberley E.; Lipson, David A.; Angenent, Largus T.								Potentiostatically Poised Electrodes Mimic Iron Oxide and Interact with Soil Microbial Communities to Alter the Biogeochemistry of Arctic Peat Soils								MINERALS				3	3			318	336					SEP 2013	2013																			
J	Wiegand, Franziska; Kubisch, Alexander; Heyne, Thomas								Out-of-school learning in the botanical garden: Guided or self-determined learning at workstations?								STUDIES IN EDUCATIONAL EVALUATION				39	3			161	168					SEP 2013	2013																			
J	Kalcounis-Rueppell, Matina C.; Briones, Kim M.; Homyack, Jessica A.; Petric, Radmila; Marshall, Matthew M.; Miller, Darren A.								Hard Forest Edges Act as Conduits, Not Filters, for Bats								WILDLIFE SOCIETY BULLETIN				37	3			571	576					SEP 2013	2013																			
J	Torstrom, Shannon M.; Adams, Jennifer R.; Waits, Lisette P.								Detecting Pygmy Rabbits (Brachylagus idahoensis) Using DNA Extracted From Fecal Pellets of Mixed-Species Groups								WILDLIFE SOCIETY BULLETIN				37	3			603	607					SEP 2013	2013																			
J	Edwards, Darryl B.; Chin, Eunice H.; Burness, Gary; Gilchrist, H. Grant; Schulte-Hostedde, Albrecht I.								Linking sex differences in corticosterone with individual reproductive behaviour and hatch success in two species of uniparental shorebirds								COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY				166	1			169	176					SEP 2013	2013																			
J	Rico, Christopher; Pittermann, Jarmila; Polley, H. Wayne; Aspinwall, Michael J.; Fay, Phillip A.								The effect of subambient to elevated atmospheric CO2 concentration on vascular function in Helianthus annuus: implications for plant response to climate change								NEW PHYTOLOGIST				199	4			956	965					SEP 2013	2013																			
J	Boklund, A.; Halasa, T.; Christiansen, L. E.; Enoe, C.								Comparing control strategies against foot-and-mouth disease: Will vaccination be cost-effective in Denmark?								PREVENTIVE VETERINARY MEDICINE				111	3-4			206	219					SEP 1 2013	2013																			
J	Schleicher, C.; Scheriau, S.; Kopacka, I.; Wanda, S.; Hofrichter, J.; Koefer, J.								Analysis of the variation in meat inspection of pigs using variance partitioning								PREVENTIVE VETERINARY MEDICINE				111	3-4			278	285					SEP 1 2013	2013																			
J	Kruze, J.; Monti, G.; Schulze, F.; Mella, A.; Leiva, S.								Herd-level prevalence of Map infection in dairy herds of southern Chile determined by culture of environmental fecal samples and bulk-tank milk qPCR								PREVENTIVE VETERINARY MEDICINE				111	3-4			319	324					SEP 1 2013	2013																			
J	Thayn, Jonathan Boyd								Using a remotely sensed optimized Disturbance Index to detect insect defoliation in the Apostle Islands, Wisconsin, USA								REMOTE SENSING OF ENVIRONMENT				136				210	217					SEP 2013	2013																			
J	Smucker, Nathan J.; Becker, Mary; Detenbeck, Naomi E.; Morrison, Alisa C.								Using algal metrics and biomass to evaluate multiple ways of defining concentration-based nutrient criteria in streams and their ecological relevance								ECOLOGICAL INDICATORS				32				51	61					SEP 2013	2013																			
