PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Chowdhury, Niladri Roy; Cook, Dianne; Hofmann, Heike; Majumder, Mahbubul; Lee, Eun-Kyung; Toth, Amy L.								Using visual statistical inference to better understand random class separations in high dimension, low sample size data								COMPUTATIONAL STATISTICS				30	2			293	316					JUN 2015	2015																			
J	Golia, Silvia								Assessing the impact of uniform and nonuniform differential item functioning items on Rasch measure: the polytomous case								COMPUTATIONAL STATISTICS				30	2			441	461					JUN 2015	2015																			
J	Cavallo, Catherine; Dempster, Tim; Kearney, Michael R.; Kelly, Ella; Booth, David; Hadden, Kate M.; Jessop, Tim S.								Predicting climate warming effects on green turtle hatchling viability and dispersal performance								FUNCTIONAL ECOLOGY				29	6			768	778					JUN 2015	2015																			
J	Duerr, Adam E.; Miller, Tricia A.; Lanzone, Michael; Brandes, David; Cooper, Jeff; O'Malley, Kieran; Maisonneuve, Charles; Tremblay, Junior A.; Katzner, Todd								Flight response of slope-soaring birds to seasonal variation in thermal generation								FUNCTIONAL ECOLOGY				29	6			779	790					JUN 2015	2015																			
J	Jordanova, Tania; Cronk, Ryan; Obando, Wanda; Zeledon Medina, Octavio; Kinoshita, Rinko; Bartram, Jamie								Water, Sanitation, and Hygiene in Schools in Low Socio-Economic Regions in Nicaragua: A Cross-Sectional Survey								INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH				12	6			6197	6217					JUN 2015	2015																			
J	McLean, Kathleen E.; Yao, Jiayun; Henderson, Sarah B.								An Evaluation of the British Columbia Asthma Monitoring System (BCAMS) and PM2.5 Exposure Metrics during the 2014 Forest Fire Season								INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH				12	6			6710	6724					JUN 2015	2015																			
J	Zhou, Yu; Yang, Bao-Tian; Li, Pi-Peng; Min, Mi-Sook; Fong, Jonathan J.; Dong, Bing-Jun; Zhou, Zheng-Yan; Lu, Yu-Yan								Molecular and Morphological Evidence for Rana kunyuensis as a Junior Synonym of Rana coreana (Anura: Ranidae)								JOURNAL OF HERPETOLOGY				49	2			302	307					JUN 2015	2015																			
J	Nothias-Scaglia, Louis-Felix; Pannecouque, Christophe; Renucci, Franck; Delang, Leen; Neyts, Johan; Roussi, Fanny; Costa, Jean; Leyssen, Pieter; Litaudon, Marc; Paolini, Julien								Antiviral Activity of Diterpene Esters on Chikungunya Virus and HIV Replication								JOURNAL OF NATURAL PRODUCTS				78	6			1277	1283					JUN 2015	2015																			
J	Arranz, Ignasi; Sala, Jordi; Gascon, Stephanie; Ruhi, Albert; Quintana, Xavier D.; Amoedo, Joan; Martinoy, Monica; Boix, Dani								Contribution to the knowledge of the distribution of Chaoborus species (Diptera: Chaoboridae) in the NE Iberian Peninsula, with notes on the spatial and temporal segregation among them								LIMNETICA				34	1			57	67					JUN 2015	2015																			
J	Hula, Andreas; Montague, P. Read; Dayan, Peter								Monte Carlo Planning Method Estimates Planning Horizons during Interactive Social Exchange								PLOS COMPUTATIONAL BIOLOGY				11	6					e1004254				JUN 2015	2015																			
J	Beale, Mathew A.; Sabiiti, Wilber; Robertson, Emma J.; Fuentes-Cabrejo, Karen M.; O'Hanlon, Simon J.; Jarvis, Joseph N.; Loyse, Angela; Meintjes, Graeme; Harrison, Thomas S.; May, Robin C.; Fisher, Matthew C.; Bicanic, Tihana								Genotypic Diversity Is Associated with Clinical Outcome and Phenotype in Cryptococcal Meningitis across Southern Africa								PLOS NEGLECTED TROPICAL DISEASES				9	6					e0003847				JUN 2015	2015																			
J	Aslam, Muhammad Aamir; Schokker, Dirkjan; Groothuis, Ton G. G.; de Wit, Agnes A. C.; Smits, Mari A.; Woelders, Henri								Association of Egg Mass and Egg Sex: Gene Expression Analysis from Maternal RNA in the Germinal Disc Region of Layer Hens (Gallus gallus)								BIOLOGY OF REPRODUCTION				92	6					157				JUN 1 2015	2015																			
J	Gamez-Pozo, Angelo; Berges-Soria, Julia; Arevalillo, Jorge M.; Nanni, Paolo; Lopez-Vacas, Rocio; Navarro, Hilario; Grossmann, Jonas; Castaneda, Carlos A.; Main, Paloma; Diaz-Almiron, Mariana; Espinosa, Enrique; Ciruelos, Eva; Fresno Vara, Juan Angel								Combined Label-Free Quantitative Proteomics and microRNA Expression Analysis of Breast Cancer Unravel Molecular Differences with Clinical Implications								CANCER RESEARCH				75	11			2243	2253					JUN 1 2015	2015																			
J	Cerella, C.; Muller, F.; Gaigneaux, A.; Radogna, F.; Viry, E.; Chateauvieux, S.; Dicato, M.; Diederich, M.								Early downregulation of Mcl-1 regulates apoptosis triggered by cardiac glycoside UNBS1450								CELL DEATH & DISEASE				6						e1782				JUN 2015	2015																			
J	Le, Jennifer; Capparelli, Edmund V.; Wahid, Uzra; Wu, Yi Shuan S.; Romanowski, Gale L.; Tran, Tri M.; Nguyen, Austin; Bradley, John S.								Bayesian Estimation of Vancomycin Pharmacokinetics in Obese Children: Matched Case-Control Study								CLINICAL THERAPEUTICS				37	6			1340	1351					JUN 2015	2015																			
J	Johnson, Mark S.; Lathuilliere, Michael J.; Tooke, Thoreau R.; Coops, Nicholas C.								Attenuation of urban agricultural production potential and crop water footprint due to shading from buildings and trees								ENVIRONMENTAL RESEARCH LETTERS				10	6					064007				JUN 2015	2015																			
