PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Genova, E.; Pelin, M.; Decorti, G.; Stocco, G.; Sergo, V.; Ventura, A.; Bonifacio, A.								SERS of cells: What can we learn from cell lysates?								ANALYTICA CHIMICA ACTA				1005				93	100					APR 16 2018	2018																			
J	Markiewicz-Keszycka, Maria; Casado-Gavalda, Maria P.; Cama-Moncunill, Xavier; Cama-Moncunill, Raquel; Dixit, Yash; Cullen, Patrick J.; Sullivan, Carl								Laser-induced breakdown spectroscopy (LIBS) for rapid analysis of ash, potassium and magnesium in gluten free flours								FOOD CHEMISTRY				244				324	330					APR 1 2018	2018																			
J	Baetsen-Young, Amy M.; Vasher, Matthew; Matta, Leann L.; Colgan, Phil; Alocilja, Evangelyn C.; Day, Brad								Direct colorimetric detection of unamplified pathogen DNA by dextrin capped gold nanoparticles								BIOSENSORS & BIOELECTRONICS				101				29	36					MAR 15 2018	2018																			
J	Kerr, Emmett; McGinnity, T. M.; Coleman, Sonya								Material recognition using tactile sensing								EXPERT SYSTEMS WITH APPLICATIONS				94				94	111					MAR 15 2018	2018																			
J	He, Fangyi; Mao, Tiantian; Hu, Taizhong; Shu, Lianjie								A new type of change-detection scheme based on the window-limited weighted likelihood ratios								EXPERT SYSTEMS WITH APPLICATIONS				94				149	163					MAR 15 2018	2018																			
J	Koetteritzsch, Julia; Geitner, Robert; Ahner, Johannes; Abend, Marcus; Zechel, Stefan; Vitz, Juergen; Hoeppener, Stephanie; Dietzek, Benjamin; Schmitt, Michael; Popp, Juergen; Schubert, Ulrich S.; Hager, Martin D.								Remendable polymers via reversible Diels-Alder cycloaddition of anthracene-containing copolymers with fullerenes								JOURNAL OF APPLIED POLYMER SCIENCE				135	10					45916				MAR 10 2018	2018																			
J	Durmanov, Nikolay N.; Guliev, Rustam R.; Eremenko, Arkady V.; Boginskaya, Irina A.; Ryzhikov, Ilya A.; Trifonova, Ekaterina A.; Putlyaev, Egor V.; Mukhin, Aleksei N.; Kalnov, Sergey L.; Balandina, Marina V.; Tkachuk, Artem P.; Gushchin, Vladimir A.; Sarychev, Andrey K.; Lagarkov, Andrey N.; Rodionov, Ilya A.; Gabidullin, Aidar R.; Kurochkin, Ilya N.								Non-labeled selective virus detection with novel SERS-active porous silver nanofilms fabricated by Electron Beam Physical Vapor Deposition								SENSORS AND ACTUATORS B-CHEMICAL				257				37	47					MAR 2018	2018																			
J	Wang, Fu-Kwun; Hailemariam, Shalemu Sharew								Sampling plans for the zero-inflated Poisson distribution in the food industry								FOOD CONTROL				85				359	368					MAR 2018	2018																			
J	Atkinson, John S.; Mitchell, John E.; Rio, Miguel; Matich, George								Your WiFi is leaking: What do your mobile apps gossip about you?								FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE				80				546	557					MAR 2018	2018																			
J	Owuor, S. O.; Butterbach-Bahl, K.; Guzha, A. C.; Jacobs, S.; Merbold, L.; Rufino, M. C.; Pelster, D. E.; Diaz-Pines, E.; Breuer, L.								Conversion of natural forest results in a significant degradation of soil hydraulic properties in the highlands of Kenya								SOIL & TILLAGE RESEARCH				176				36	44					MAR 2018	2018																			
J	Lloyd-Jones, Luke R.; Nguyen, Hien D.; McLachlan, Geoffrey J.								A globally convergent algorithm for lasso-penalized mixture of linear regression models								COMPUTATIONAL STATISTICS & DATA ANALYSIS				119				19	38					MAR 2018	2018																			
J	Hagenauer, Julian; Helbich, Marco								Local modelling of land consumption in Germany with RegioClust								INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION				65				46	56					MAR 2018	2018																			
J	Masci, Chiara; De Witte, Kristof; Agasisti, Tommaso								The influence of school size, principal characteristics and school management practices on educational performance: An efficiency analysis of Italian students attending middle schools								SOCIO-ECONOMIC PLANNING SCIENCES				61				52	69					MAR 2018	2018																			
J	D'Inverno, Giovanna; Carosi, Laura; Ravagli, Letizia								Global public spending efficiency in Tuscan municipalities								SOCIO-ECONOMIC PLANNING SCIENCES				61				102	113					MAR 2018	2018																			
J	Hillman, R. Tyler; Chisholm, Gary B.; Lu, Karen H.; Futreal, P. Andrew								Genomic Rearrangement Signatures and Clinical Outcomes in High-Grade Serous Ovarian Cancer								JNCI-JOURNAL OF THE NATIONAL CANCER INSTITUTE				110	3					djx176				MAR 2018	2018																			
J	Chevallier, Marie; Riaublanc, Alain; Lopez, Christelle; Hamon, Pascaline; Rousseau, Florence; Thevenot, Jonathan; Croguennec, Thomas								Increasing the heat stability of whey protein-rich emulsions by combining the functional role of WPM and caseins								FOOD HYDROCOLLOIDS				76				164	172					MAR 2018	2018						13th International Hydrocolloids Conference (IHC)	MAY 16-20, 2016		Univ Guelph, Guelph, CANADA										
J	Gumport, Nicole B.; Dong, Lu; Lee, Jason Y.; Harvey, Allison G.								Patient learning of treatment contents in cognitive therapy								JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY				58				51	59					MAR 2018	2018																			
J	Canizo, Brenda V.; Escudero, Leticia B.; Perez, Maria B.; Pellerano, Roberto G.; Wuilloud, Rodolfo G.								Intra-regional classification of grape seeds produced in Mendoza province (Argentina) by multi-elemental analysis and chemometrics tools								FOOD CHEMISTRY				242				272	278					MAR 1 2018	2018																			
J	D'Haese, Arnout K. H.; De Leersnyder, Ilse; Vermeir, Pieter; Verliefde, Arne R. D.								On negative rejection of uncharged organic solutes in forward osmosis								JOURNAL OF MEMBRANE SCIENCE				548				22	31					FEB 15 2018	2018																			
J	Hoffmann, Martin; Pasch, Sophie; Schamberger, Thomas; Maneck, Matthias; Moehlendick, Birte; Schumacher, Sarah; Brockhoff, Gero; Knoefel, Wolfram Trudo; Izbicki, Jakob; Polzer, Bernhard; Stoecklein, Nikolas H.; Klein, Christoph A.								Diagnostic pathology of early systemic cancer: ERBB2 gene amplification in single disseminated cancer cells determines patient survival in operable esophageal cancer								INTERNATIONAL JOURNAL OF CANCER				142	4			833	843					FEB 15 2018	2018																			
