PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Huck, Maren; Fernandez-Duque, Eduardo								The floater's dilemma: use of space by wild solitary Azara's owl monkeys, Aotus azarae, in relation to group ranges								ANIMAL BEHAVIOUR				127				33	41					MAY 2017	2017																			
J	McIntyre, Trevor; Bester, Marthan N.; Bornemann, Horst; Tosh, Cheryl A.; de Bruyn, P. J. Nico								Slow to change? Individual fidelity to three-dimensional foraging habitats in southern elephant seals, Mirounga leoninae								ANIMAL BEHAVIOUR				127				91	99					MAY 2017	2017																			
J	von Merten, Sophie; Zwolak, Rafal; Rychlik, Leszek								Social personality: a more social shrew species exhibits stronger differences in personality types								ANIMAL BEHAVIOUR				127				125	134					MAY 2017	2017																			
J	Finger, Nikita M.; Bastian, Anna; Jacobs, David S.								To seek or speak? Dual function of an acoustic signal limits its versatility in communication								ANIMAL BEHAVIOUR				127				135	152					MAY 2017	2017																			
J	Eppley, Timothy M.; Watzek, Julia; Dausmann, Kathrin H.; Ganzhorn, Joerg U.; Donati, Giuseppe								Huddling is more important than rest site selection for thermoregulation in southern bamboo lemurs								ANIMAL BEHAVIOUR				127				153	161					MAY 2017	2017																			
J	Fernandez, M. S. A.; Vignal, C.; Soula, H. A.								Impact of group size and social composition on group vocal activity and acoustic network in a social songbird								ANIMAL BEHAVIOUR				127				163	178					MAY 2017	2017																			
J	Odermatt, Jannic; Frommen, Joachim G.; Menz, Myles H. M.								Consistent behavioural differences between migratory and resident hoverflies								ANIMAL BEHAVIOUR				127				187	195					MAY 2017	2017																			
J	Paquet, Matthieu; Wotherspoon, Ross; Smiseth, Per T.								Caring males do not respond to cues about losses in paternity in the burying beetle Nicrophorus vespilloides								ANIMAL BEHAVIOUR				127				213	218					MAY 2017	2017																			
J	Painting, Christina J.; Chang, Chia-chen; Seah, Jia Fen; Li, Daiqin								Condition dependence of female-specific UV-induced fluorescence in a jumping spider								ANIMAL BEHAVIOUR				127				233	241					MAY 2017	2017																			
J	Savriama, Yoland; Gerber, Sylvain; Baiocco, Matteo; Debat, Vincent; Fusco, Giuseppe								Development and evolution of segmentation assessed by geometric morphometrics: The centipede Strigamia maritima as a case study								ARTHROPOD STRUCTURE & DEVELOPMENT				46	3			419	428					MAY 2017	2017																			
J	Wang, Chaochen; Chiang, Chifa; Yatsuya, Hiroshi; Hilawe, Esayas Haregot; Ikerdeu, Edolem; Honjo, Kaori; Mita, Takashi; Cui, Renzhe; Hirakawa, Yoshihisa; Madraisau, Sherilynn; Iso, Hiroyasu; Aoyama, Atsuko								Descriptive Epidemiology of Hypertension and Its Association With Obesity: Based on the WHO STEPwise Approach to Surveillance in Palau								ASIA-PACIFIC JOURNAL OF PUBLIC HEALTH				29	4			278	287					MAY 2017	2017																			
J	Quattrini, Andrea M.; Demopoulos, Amanda W. J.; Singer, Randal; Roa-Varon, Adela; Chaytor, Jason D.								Demersal fish assemblages on seamounts and other rugged features in the northeastern Caribbean								DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS				123				90	104					MAY 2017	2017																			
J	Schroeder, Clemens; Park, Min Tae M.; Germann, Jurgen; Chakravarty, M. Mallar; Michels, Lars; Kollias, Spyros; Kroll, Sara L.; Buck, Alfred; Treyer, Valerie; Savaskan, Egemen; Unschuld, Paul G.; Nitsch, Roger M.; Kalin, Andrea M.; Hock, Christoph; Gietl, Anton F.; Leh, Sandra E.								Hippocampal shape alterations are associated with regional A beta load in cognitively normal elderly individuals								EUROPEAN JOURNAL OF NEUROSCIENCE				45	10			1241	1251					MAY 2017	2017																			
J	Naidoo, Anushka; Chirehwa, Maxwell; McIlleron, Helen; Naidoo, Kogieleum; Essack, Sabiha; Yende-Zuma, Nonhlanhla; Kimba-Phongi, Eddy; Adamson, John; Govender, Katya; Padayatchi, Nesri; Denti, Paolo								Effect of rifampicin and efavirenz on moxifloxacin concentrations when co-administered in patients with drug-susceptible TB								JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY				72	5			1441	1449					MAY 2017	2017																			
J	Wu, Wenxue; Wang, Lei; Liao, Yu; Xu, Songli; Huang, Bangqin								Spatial and seasonal distributions of photosynthetic picoeukaryotes along an estuary to basin transect in the northern South China Sea								JOURNAL OF PLANKTON RESEARCH				39	3			423	435					MAY-JUN 2017	2017																			
J	Kruk, Carla; Segura, Angel M.; Costa, Luciana S.; Lacerot, Gissell; Kosten, Sarian; Peeters, Edwin T. H. M.; Huszar, Vera L. M.; Mazzeo, Nestor; Scheffer, Marten								Functional redundancy increases towards the tropics in lake phytoplankton								JOURNAL OF PLANKTON RESEARCH				39	3			518	530					MAY-JUN 2017	2017																			
J	Clemente, Christofer J.; Goetzke, Hanns Hagen; Bullock, James M. R.; Sutton, Gregory P.; Burrows, Malcolm; Federle, Walter								Jumping without slipping: leafhoppers (Hemiptera: Cicadellidae) possess special tarsal structures for jumping from smooth surfaces								JOURNAL OF THE ROYAL SOCIETY INTERFACE				14	130					20170022				MAY 1 2017	2017																			
J	Lemos-Costa, Paula; Martins, Ayana B.; Thompson, John N.; de Aguiar, Marcus A. M.								Gene flow and metacommunity arrangement affects coevolutionary dynamics at the mutualism - antagonism interface								JOURNAL OF THE ROYAL SOCIETY INTERFACE				14	130					20160989				MAY 1 2017	2017																			
